varenr,Frequency,,,
37853,12498,,,
192617,11896,,,
24618,11653,,,
474718,9778,,,
183400,8242,,,
37846,7882,,,
519371,7114,,,
5899,6661,,,
12609,6229,,,
116657,6199,,,
19745,5681,,,
19513,5389,,,
494831,5349,,,
50526,5328,,,
56250,4770,,,
128348,4497,,,
149203,4367,,,
13102,4118,,,
145268,4079,,,
186023,3641,,,
166406,3611,,,
19019,3609,,,
510313,3457,,,
579177,3414,,,
491787,3328,,,
124347,3328,,,
688003,3220,,,
8453,3213,,,
59071,3157,,,
139170,3138,,,
388363,3064,,,
7535,3018,,,
415679,3007,,,
516039,2966,,,
429555,2953,,,
65052,2777,,,
83865,2647,,,
388371,2639,,,
516195,2591,,,
95828,2468,,,
41830,2460,,,
588905,2420,,,
11244,2419,,,
24198,2380,,,
688002,2318,,,
447490,2282,,,
487934,2260,,,
172973,2181,,,
143800,2151,,,
458356,2116,,,
415141,2110,,,
74702,2018,,,
74691,1949,,,
59014,1943,,,
579128,1893,,,
149625,1883,,,
5588,1881,,,
541060,1878,,,
141119,1858,,,
17248,1841,,,
388314,1797,,,
24503,1795,,,
62737,1785,,,
183418,1755,,,
373365,1741,,,
382507,1730,,,
22293,1719,,,
18978,1705,,,
79061,1700,,,
40833,1678,,,
90084,1662,,,
588939,1635,,,
17218,1597,,,
493718,1595,,,
174813,1591,,,
65706,1587,,,
588871,1584,,,
100025,1578,,,
388322,1545,,,
474551,1534,,,
512855,1534,,,
11018,1529,,,
135533,1515,,,
139162,1496,,,
20444,1489,,,
24231,1488,,,
23993,1484,,,
180729,1446,,,
407777,1438,,,
13679,1427,,,
559062,1419,,,
13701,1397,,,
490466,1359,,,
20343,1350,,,
93278,1348,,,
70233,1345,,,
97139,1323,,,
197400,1298,,,
409748,1296,,,
485946,1281,,,
83644,1277,,,
29066,1276,,,
7095,1273,,,
17210,1268,,,
458349,1266,,,
496950,1249,,,
6024,1246,,,
13957,1243,,,
99242,1238,,,
513911,1223,,,
568964,1200,,,
96415,1198,,,
7138,1186,,,
166395,1184,,,
14290,1167,,,
147710,1164,,,
1362,1147,,,
48744,1144,,,
515858,1132,,,
66278,1130,,,
81843,1116,,,
466094,1106,,,
128355,1087,,,
6102,1083,,,
11528,1044,,,
156810,1044,,,
184382,1026,,,
79053,1018,,,
401851,1015,,,
5635,1002,,,
55336,999,,,
93427,995,,,
435651,991,,,
155432,990,,,
140202,986,,,
488619,985,,,
149815,981,,,
21568,978,,,
416446,960,,,
19455,948,,,
76097,945,,,
10264,935,,,
108852,934,,,
518720,926,,,
4222,924,,,
559070,919,,,
11461,913,,,
50963,903,,,
4045,894,,,
195149,893,,,
400044,886,,,
162115,875,,,
4017,868,,,
116137,867,,,
515189,867,,,
152197,857,,,
398074,857,,,
27886,856,,,
376434,853,,,
135384,853,,,
192625,850,,,
23703,846,,,
65722,833,,,
22368,829,,,
42952,826,,,
394858,822,,,
511303,822,,,
45365,820,,,
9783,816,,,
115642,814,,,
381197,814,,,
11007,809,,,
61390,808,,,
14159,807,,,
493692,798,,,
9326,797,,,
498485,795,,,
497099,793,,,
489609,792,,,
500678,790,,,
159632,786,,,
462028,785,,,
458372,779,,,
15343,762,,,
418111,761,,,
102871,759,,,
522730,757,,,
71666,753,,,
593392,753,,,
57215,742,,,
416784,742,,,
147736,741,,,
23824,739,,,
431098,739,,,
486860,738,,,
373340,731,,,
2309,722,,,
428680,722,,,
73178,722,,,
575324,721,,,
56232,721,,,
91769,714,,,
143685,714,,,
22269,710,,,
76106,708,,,
168740,707,,,
515239,705,,,
494674,704,,,
59987,703,,,
8086,692,,,
15301,686,,,
153593,683,,,
498048,683,,,
17236,680,,,
107128,674,,,
22524,673,,,
448413,673,,,
97124,671,,,
487264,670,,,
488627,667,,,
43703,663,,,
25606,663,,,
108628,661,,,
580100,660,,,
6778,658,,,
438424,657,,,
505420,655,,,
520874,641,,,
143891,640,,,
475681,639,,,
537746,638,,,
38534,638,,,
466219,632,,,
54332,628,,,
54320,627,,,
124537,626,,,
16294,626,,,
3755,625,,,
3995,625,,,
512863,622,,,
122754,622,,,
20361,620,,,
7921,619,,,
28241,618,,,
513945,614,,,
42572,613,,,
120295,611,,,
414045,609,,,
537761,607,,,
7104,604,,,
178095,600,,,
414052,598,,,
533737,595,,,
66118,594,,,
73205,594,,,
145250,589,,,
417956,587,,,
579169,587,,,
97147,586,,,
490268,585,,,
21505,582,,,
545848,581,,,
529321,576,,,
522458,572,,,
23685,571,,,
18638,571,,,
10077,570,,,
452227,569,,,
23897,569,,,
139402,566,,,
92878,563,,,
479394,562,,,
161596,561,,,
80507,559,,,
81879,559,,,
54321,559,,,
22396,558,,,
37929,552,,,
17048,552,,,
107110,552,,,
71555,550,,,
462044,550,,,
