Drugid,Navn,,Lægemiddelform,Styrketekst,AktiveSubstanser,MftIndehaver,ATC-kode,Godkendt procedure,Godkendt rolle,Registreringsdato,Er i Medicinpriser,,Sidst opdateret: 15-03-2016
28120215193,(131-I)Meta-iodobenzylguanidine diagn. GE Healthca,,injektionsvæske,,Iobenguan (131-I),GE Healthcare Limited,V09IX02,National,DKMA,31-01-1995,Nej,,
28120215293,(131-I)Meta-iodobenzylguanidine therap. GE Health.,,injektionsvæske,,"Iobenguan (131-I), Natriumiodid (131-I)",GE Healthcare Limited,V10XA02,National,DKMA,30-01-1995,Nej,,
28105298713,Abasaglar,,"injektionsvæske, opløsning, cylinderampul",100 UML,Insulin glargin,Eli Lilly Regional Operations,A10AE04,Central,MOD,09-09-2014,Nej,,
28105484214,Abasaglar KwikPen,,"injektionsvæske, opløsning, fyldt pen",100 E/ML,Insulin glargin,Eli Lilly Regional Operations,A10AE04,Central,MOD,09-09-2014,Ja,,
28100157755,Abboticin,,filmovertrukne tabletter,250 mg,ERYTHROMYCINSTEARAT,Amdipharm Limited,J01FA01,National,DKMA,23-11-1955,Nej,,
28100620972,Abboticin,,filmovertrukne tabletter,500 mg,ERYTHROMYCINSTEARAT,Amdipharm Limited,J01FA01,National,DKMA,15-10-1973,Ja,,
28101191784,Abboticin,,granulat til oral suspension,100 mg/ml,ERYTHROMYCINETHYLSUCCINAT,Amdipharm Limited,J01FA01,National,DKMA,04-06-1985,Ja,,
28100627873,Abboticin,,granulat til oral suspension,40 mg/ml,ERYTHROMYCINETHYLSUCCINAT,Amdipharm Limited,J01FA01,National,DKMA,15-10-1973,Ja,,
28100951677,Abboticin,,"granulat til oral suspension, enkeltdosisbeholder",200 mg,ERYTHROMYCINETHYLSUCCINAT,Amdipharm Limited,J01FA01,National,DKMA,28-06-1978,Nej,,
28100926053,Abboticin,,"pulver til infusionsvæske, opløsning",1 g,ERYTHROMYCINLACTOBIONAT,Amdipharm Limited,J01FA01,National,DKMA,29-07-1955,Ja,,
28101286986,Abboticin Novum,,filmovertrukne tabletter,500 mg,ERYTHROMYCINETHYLSUCCINAT,Amdipharm Limited,J01FA01,National,DKMA,26-11-1987,Ja,,
28101738294,Abelcet,,"koncentrat til infusionsvæske, suspension",5 mg/ml,"AMPHOTERICIN B, LIPIDBUNDET",Teva Denmark A/S,J02AA01,National,DKMA,07-11-1996,Nej,,
