dosf_lt,frequency,dosf_lt_en,RXNorm ID,RXNorm term,Other options,Remarks
tabletter,7307,tablets,19082573,Oral Tablet,Tablet,
filmovertrukne tabletter,5898,film-coated tablets,19082573,Oral Tablet,Tablet,
"injektionsvÌ_ske, oplÌüsning",1734,injection,19082103,Injectable Solution,,
injektionsvÌ_ske,1501,injection,46234469,injection,,
depottabletter,1400,release tablets,19001949,Delayed Release Oral Tablet,Extended Release Oral Tablet,
"kapsler, hÌ´rde",1109,capsules,19082255,Delayed Release Oral Capsule,Extended Release Oral Capsule,
"injektionsvÌ_ske, suspension",656,suspension for injection,19082104,Injectable Suspension,,
enterotabletter,607,resistant tablets,19001949,Delayed Release Oral Tablet,Extended Release Oral Tablet,
"infusionsvÌ_ske, oplÌüsning",521,injection,46234469,injection,,
creme,509,cream,19110977,cream,,
kapsler,505,capsules,19082168,Oral Capsule,Capsule,
inhalationspulver,452,inhalation,19082259,inhalant powder,,
"pulver og solvens til injektionsvÌ_ske, oplÌüsning",426,powder and solvent for solution for injection,19082103,Injectable Solution,,
peritonealdialysevÌ_ske,393,PD,19111276,Solution,,
"koncentrat til infusionsvÌ_ske, oplÌüsning",370,concentrate for solution for infusion,19111276,Solution,,
"depotkapsler, hÌ´rde",370,capsules,19082255,Delayed Release Oral Capsule,Extended Release Oral Tablet,
oral oplÌüsning,347,oral solution,19082170,oral solution,,
depotplastre,338,transdermal patches,19082229,transdermal patch,,
salve,335,ointment,19129401,ointment,,
infusionsvÌ_ske,319,infusion,19111276,Solution,,
"enterokapsler, hÌ´rde",317,"capsules, hard",19082255,Delayed Release Oral Capsule,Extended Release Oral Capsule,
overtrukne tabletter,313,coated tablets,19082573,Oral Tablet,Tablet,
"injektionsvÌ_ske, oplÌüsning, fyldt injektionssprÌüjte",312,"solution for injection , pre-filled syringe",19126920,Prefilled Syringe,,
smeltetabletter,299,orodispersible tablets,19082076,Disintegrating Oral Tablet,,
injektionssubstans,282,powder for injection,46234469,Injection,,Strange translation by Google
mikstur,271,mixture,,,,not possible to map
suppositorier,258,suppositories,19000942,suppository,,
"ÌüjendrÌ´ber, oplÌüsning",255,Ophthalmic Solution,19129634,ophthalmic solution,,
tyggetabletter,235,chewable,19135866,Chewable Tablet,,
"pulver til injektionsvÌ_ske, oplÌüsning",210,powder for solution for injection,19135790,Powder,,
depotkapsler,198,release capsules,19082255,Delayed Release Oral Capsule,Extended Release Oral Capsule,
gel,187,gel,19112544,gel,,
oral suspension,177,oral suspension,19082191,oral suspension,,
ÌüjendrÌ´ber,170,eye drops,19129634,ophthalmic solution,,
"pulver til infusionsvÌ_ske, oplÌüsning",155,powder for solution for infusion,19135790,Powder,,
"kapsler, blÌüde",154,"capsules, soft",19082168,Oral Capsule,,
brusetabletter,148,effervescent tablets,44817840,Effervescent Oral Tablet,,
"injektions-/infusionsvÌ_ske, oplÌüsning",140,injection / infusion,46234469,Injection,Solution,
medicinsk tyggegummi,139,medical chewing gum,19102296,Chewing Gum,,
dispergible tabletter,129,dispersible tablets,19082076,Disintegrating Oral Tablet,,
kutanoplÌüsning,129,cutaneous solution,19082228,Topical Solution,,
"nÌ_sespray, oplÌüsning",120,nasal spray solution,19011167,nasal spray,,
"pulver til injektions- og infusionsvÌ_ske, oplÌüsning",116,powder for solution for injection or infusion,19135790,Powder,,
"infusionsvÌ_ske, emulsion",116,emulsion for infusion,,,,not possible to map (not on emulsion or infusion)
"spot-on, oplÌüsning",114,spot-on solution,19111276,Solution,,
liniment,114,liniment,19129401,ointment,,
"injektionsvÌ_ske, oplÌüsning, fyldt pen",112,"solution for injection, prefilled pen",46234467,pen injector,,
oralt pulver,110,oral powder,19095976,oral powder,,
oplÌüsning til priktest (Soluprick),106,solution to prick test (Soluprick),19111276,Solution,,
"inhalationsspray, suspension",96,"pressurized inhalation, suspension",19018195,Inhalant,,
oplÌüsning,94,solution,19111276,Solution,,
"pulver og solvens til injektionsvÌ_ske, suspension",90,powder and solvent for suspension for injection,19135790,Powder,,
skyllevÌ_ske,88,Flushing fluid,19111276,Solution,,
"resoribletter, sublinguale",88,sublingual tablets,19082285,Sublingual Tablet,,
sugetabletter,85,lozenges,19082253,oral lozenge,,
infusionskoncentrat,84,infusion,19111276,Solution,,
"medicinsk gas, komprimeret",84,"medical gas, compressed",40228366,Gas,,
granulat,81,granulate,19082651,Oral Granules,,
"kapsler med modificeret udlÌüsning, hÌ´rde",80,"modified release capsule, hard",19082255,Delayed Release Oral Capsule,Extended Release Oral Capsule,
inhalationspulver i kapsler,79,inhalation capsules,19082259,inhalant powder,,
tabletter med modificeret udlÌüsning,76,modified-release tablets,19001949,Delayed Release Oral Tablet,Extended Release Oral Tablet,
"nÌ_sespray, suspension",75,Nasal Spray,19095977,Nasal Suspension,,
"ÌüjendrÌ´ber, suspension",74,"eye drops, suspension",19082167,Ophthalmic Suspension,,
oplÌüselige tabletter,73,soluble tablets,19082076,Disintegrating Oral Tablet,,
"injektionsvÌ_ske, emulsion",73,emulsion for injection,46234469,Injection,,
pulver til oplÌüsning i drikkevand,70,powder for solution in drinking water,45775491,powder for oral solution,,
pulver til oral oplÌüsning,66,powder for oral solution,45775491,powder for oral solution,,
injektionsvÌ_ske (vaccine),65,injection (vaccine),46234469,injection,,
oral pasta,64,oral paste,19095918,oral paste,,
drÌ´ber,64,drops,19111276,Solution,,
inhalationsaerosol,64,inhalation aerosol,19018195,Inhalant,,
intramammÌ_r suspension,59,intramammary suspension,19082104,injectable suspension,,
inhalationsvÌ_ske,59,inhalation,19018195,Inhalant,,
infusionssubstans,54,infusionssubstans,,,not possible to map ,
"pulver til koncentrat til infusionsvÌ_ske, oplÌüsning",53,powder for concentrate for solution for infusion,19135790,Powder,,
enterokapsler,53,capsules,19082255,Delayed Release Oral Capsule,Extended Release Oral Capsule,
afdelte pulvere,51,divisional powders,19135790,Powder,,
"inhalationspulver, afdelt",50,"inhalation powder, pre-",19082259,Inhalant Powder,,
klysma,50,enema,19082627,Enema,,
"ÌüjendrÌ´ber, oplÌüsning, enkeltdosisbeholder",47,"eye drops solution, single dose container",19129634,ophthalmic solution,,
