dosf_lt,dosf_lt_corrected,dosf_lt_en,frequency,concept_id,concept_name,lev_score
tabletter,tabletter,tablets,7307,19001943,tablet,1
tabletter,tabletter,tablets,7307,19135868,caplet,3
tabletter,tabletter,tablets,7307,19082254,beads,5
tabletter,tabletter,tablets,7307,40228366,gas,5
tabletter,tabletter,tablets,7307,19102295,paste,5
tabletter,tabletter,tablets,7307,19021887,capsule,6
tabletter,tabletter,tablets,7307,40228565,oil,6
tabletter,tabletter,tablets,7307,19082573,oral tablet,6
tabletter,tabletter,tablets,7307,19127776,pack,6
filmovertrukne tabletter,filmovertrukne tabletter,film-coated tablets,5898,40175589,buccal tablet,10
filmovertrukne tabletter,filmovertrukne tabletter,film-coated tablets,5898,19130329,medicated tape,10
filmovertrukne tabletter,filmovertrukne tabletter,film-coated tablets,5898,19135866,chewable tablet,11
filmovertrukne tabletter,filmovertrukne tabletter,film-coated tablets,5898,19082573,oral tablet,11
filmovertrukne tabletter,filmovertrukne tabletter,film-coated tablets,5898,19082285,sublingual tablet,11
filmovertrukne tabletter,filmovertrukne tabletter,film-coated tablets,5898,19010962,vaginal tablet,11
filmovertrukne tabletter,filmovertrukne tabletter,film-coated tablets,5898,19130307,medicated pad,12
filmovertrukne tabletter,filmovertrukne tabletter,film-coated tablets,5898,19008697,medicated shampoo,13
filmovertrukne tabletter,filmovertrukne tabletter,film-coated tablets,5898,19001943,tablet,13
"injektionsvÃ¦ske, oplÃ¸sning","injektionsvæske, opløsning",injection,1734,46234469,injection,0
"injektionsvÃ¦ske, oplÃ¸sning","injektionsvæske, opløsning",injection,1734,19011932,lotion,5
"injektionsvÃ¦ske, oplÃ¸sning","injektionsvæske, opløsning",injection,1734,19111276,solution,5
"injektionsvÃ¦ske, oplÃ¸sning","injektionsvæske, opløsning",injection,1734,46275062,jet injector,6
"injektionsvÃ¦ske, oplÃ¸sning","injektionsvæske, opløsning",injection,1734,46234467,pen injector,6
"injektionsvÃ¦ske, oplÃ¸sning","injektionsvæske, opløsning",injection,1734,19001144,suspension,6
"injektionsvÃ¦ske, oplÃ¸sning","injektionsvæske, opløsning",injection,1734,19124967,cement,7
"injektionsvÃ¦ske, oplÃ¸sning","injektionsvæske, opløsning",injection,1734,19082627,enema,7
"injektionsvÃ¦ske, oplÃ¸sning","injektionsvæske, opløsning",injection,1734,19018195,inhalant,7
injektionsvÃ¦ske,injektionsvæske,injection,1501,46234469,injection,0
injektionsvÃ¦ske,injektionsvæske,injection,1501,19011932,lotion,5
injektionsvÃ¦ske,injektionsvæske,injection,1501,19111276,solution,5
injektionsvÃ¦ske,injektionsvæske,injection,1501,46275062,jet injector,6
injektionsvÃ¦ske,injektionsvæske,injection,1501,46234467,pen injector,6
injektionsvÃ¦ske,injektionsvæske,injection,1501,19001144,suspension,6
injektionsvÃ¦ske,injektionsvæske,injection,1501,19124967,cement,7
injektionsvÃ¦ske,injektionsvæske,injection,1501,19082627,enema,7
injektionsvÃ¦ske,injektionsvæske,injection,1501,19018195,inhalant,7
depottabletter,depottabletter,release tablets,1400,40175589,buccal tablet,7
depottabletter,depottabletter,release tablets,1400,19135866,chewable tablet,7
depottabletter,depottabletter,release tablets,1400,19082573,oral tablet,7
depottabletter,depottabletter,release tablets,1400,19010962,vaginal tablet,8
depottabletter,depottabletter,release tablets,1400,19001943,tablet,9
depottabletter,depottabletter,release tablets,1400,19082652,oral pellet,10
depottabletter,depottabletter,release tablets,1400,19082197,rectal cream,10
depottabletter,depottabletter,release tablets,1400,19082198,rectal powder,10
depottabletter,depottabletter,release tablets,1400,19082285,sublingual tablet,10
"kapsler, hÃ¥rde","kapsler, hårde",capsules,1109,19021887,capsule,1
"kapsler, hÃ¥rde","kapsler, hårde",capsules,1109,19135868,caplet,3
"kapsler, hÃ¥rde","kapsler, hårde",capsules,1109,19102295,paste,5
"kapsler, hÃ¥rde","kapsler, hårde",capsules,1109,19001943,tablet,5
"kapsler, hÃ¥rde","kapsler, hårde",capsules,1109,40228366,gas,6
"kapsler, hÃ¥rde","kapsler, hårde",capsules,1109,19082163,nasal gel,6
"kapsler, hÃ¥rde","kapsler, hårde",capsules,1109,19082168,oral capsule,6
"kapsler, hÃ¥rde","kapsler, hårde",capsules,1109,19135790,powder,6
"kapsler, hÃ¥rde","kapsler, hårde",capsules,1109,19111155,solid,6
"injektionsvÃ¦ske, suspension","injektionsvæske, suspension",suspension for injection,656,19082258,gas for inhalation,13
"injektionsvÃ¦ske, suspension","injektionsvæske, suspension",suspension for injection,656,46234467,pen injector,13
"injektionsvÃ¦ske, suspension","injektionsvæske, suspension",suspension for injection,656,19001144,suspension,14
