source_code,source_name,target_concept_id,rxnorm_id,target_name
A10AE05,insulin detemir,1516976,139825,insulin detemir
L01CB01,etoposide,1350504,4179,Etoposide
G04BE03,sildenafil,1316262,136411,sildenafil
L01XX39,romidepsin,40168385,877510,romidepsin
N05CA22,proxibarbal,19134133,83885,proxibarbal
C04AX21,naftidrofuryl,19014035,7236,Nafronyl
V10XX01,sodium phosphate (32P),19135940,91559,Sodium phosphate P32
N06AB10,escitalopram,715939,321988,Escitalopram
G04BX06,phenazopyridine,933724,8120,Phenazopyridine
D01AE07,chlorphenesin,19092712,2399,Chlorphenesin
N06BX04,deanol,1311826,3116,Deanol
N03AX12,gabapentin,797399,25480,gabapentin
N06BA11,dexmethylphenidate,731533,352372,dexmethylphenidate
L01XE05,sorafenib,1363387,495881,sorafenib
J06BB16,palivizumab,537647,194279,palivizumab
N02AB03,fentanyl,1154029,4337,Fentanyl
L01AD02,lomustine,1391846,6466,Lomustine
N05AX14,iloperidone,19017241,73178,iloperidone
R05DA01,ethylmorphine,19050414,4166,Ethylmorphine
V03AB23,acetylcysteine,1139042,197,Acetylcysteine
G01AF01,metronidazole,1707164,6922,Metronidazole
L01XX27,arsenic trioxide,1333379,18330,arsenic trioxide
J01DD01,cefotaxime,1774470,2186,Cefotaxime
J01XB02,polymyxin B,948582,8536,Polymyxin B
C07AA19,bupranolol,19018489,1817,Bupranolol
V04CC02,magnesium sulfate,19093848,6585,Magnesium Sulfate
J01DD06,latamoxef,19126622,7069,Moxalactam
C05AD01,lidocaine,989878,6387,Lidocaine
A09AA01,diastase,919204,743,Amylases
D07XB04,fluorometholone,955583,4491,Fluorometholone
G04BE06,moxisylyte,19007422,10561,Moxisylyte
S01GX10,epinastine,943634,39684,epinastine
C02CA02,indoramin,19078808,5784,Indoramin
S01FB01,phenylephrine,1135766,8163,Phenylephrine
D11AX18,diclofenac,1124300,3355,Diclofenac
N05AL02,sultopride,19100431,37416,sultopride
N05BA22,cloxazolam,19051096,21311,cloxazolam
L03AX16,plerixafor,19017581,733003,Plerixafor
H05BA01,calcitonin (salmon synthetic),1537655,36118,salmon calcitonin
J01CF04,oxacillin,1724703,7773,Oxacillin
N04AA08,dexetimide,19082894,3267,Dexetimide
P01CB02,sodium stibogluconate,19131064,8010,Sodium Stibogluconate
S01HA04,proxymetacaine,929504,34905,proparacaine
C02CC01,betanidine,19022533,1523,Bethanidine
A06AH03,naloxegol,45774613,1551777,naloxegol
G03CB02,diethylstilbestrol,1525866,3390,Diethylstilbestrol
N05CC05,paraldehyde,19027181,7909,Paraldehyde
C05CX02,naftazone,19080493,31475,naftazone
D07XB05,dexamethasone,1518254,3264,Dexamethasone
N05AG02,pimozide,745790,8331,Pimozide
V03AB20,copper sulfate,19057346,21579,Copper Sulfate
L01XX41,eribulin,40230712,1045453,eribulin
N05BA16,nordazepam,19080959,3155,Nordazepam
P03AA04,disulfiram,735850,3554,Disulfiram
J01FA05,oleandomycin,19023254,7629,Oleandomycin
A05BA05,epomediol,19058527,24263,epomediol
J01AA01,demeclocycline,1714527,3154,Demeclocycline
J01AA02,doxycycline,1738521,3640,Doxycycline
R06AX26,fexofenadine,1153428,87636,fexofenadine
B05XA09,sodium phosphate,939871,36709,sodium phosphate
D10AA01,fluorometholone,955583,4491,Fluorometholone
B05XA08,sodium acetate,19077884,56443,Sodium Acetate
M04AA03,febuxostat,19017742,73689,febuxostat
N04BD01,selegiline,766209,9639,Selegiline
S01AA23,netilmicin,19017585,7337,Netilmicin
G03GA04,urofollitropin,1515417,134404,Urofollitropin
N02CA01,dihydroergotamine,1126557,3418,Dihydroergotamine
D09AA06,triclosan,1704758,10795,Triclosan
S01EB04,demecarium,19004718,107771,Demecarium
S01AD02,trifluridine,905078,10803,Trifluridine
H01AX01,pegvisomant,1503432,278739,pegvisomant
C01CA04,dopamine,1337860,3628,Dopamine
N01BB06,cinchocaine,923840,3339,Dibucaine
S01FA04,cyclopentolate,910232,3001,Cyclopentolate
D11AH03,cromoglicic acid,1152631,42612,Cromolyn
A12CA01,sodium chloride,967823,9863,Sodium Chloride
D01AC13,omoconazole,19016974,32411,omoconazole
B01AE03,argatroban,1322207,15202,argatroban
N05AA02,levomepromazine,19005147,6852,Methotrimeprazine
C01BB01,lidocaine,989878,6387,Lidocaine
H03BA03,benzylthiouracil,19018604,19084,benzylthiouracil
N01AH06,remifentanil,19016749,73032,remifentanil
N01BB02,lidocaine,989878,6387,Lidocaine
B01AA01,dicoumarol,1325124,1598,Dicumarol
J07BD01,"measles, live attenuated",590675,235574,"MEASLES VIRUS VACCINE,LIVE ATTENUATED"
A06AD01,magnesium carbonate,908464,29155,magnesium carbonate
L01XX08,pentostatin,19031224,8011,Pentostatin
A14AB01,nandrolone,1514412,7244,Nandrolone
D01AC10,bifonazole,19037560,19295,bifonazole
A10BB12,glimepiride,1597756,25789,glimepiride
D06AX12,amikacin,1790868,641,Amikacin
L02BG02,formestane,19020079,15070,formestane
L01XE25,trametinib,43532497,1425099,trametinib
N04AC01,benzatropine,719174,1424,Benztropine
S02BA06,dexamethasone,1518254,3264,Dexamethasone
S01AA11,gentamicin,919345,142438,Gentamicin Sulfate (USP)
S01AA18,polymyxin B,948582,8536,Polymyxin B
N06AX07,minaprine,19072123,30031,minaprine
J01CA10,mezlocillin,19007701,6927,Mezlocillin
N06AX12,bupropion,750982,42347,Bupropion
M01AX14,orgotein,19082874,32526,orgotein
L01XE11,pazopanib,40167554,714438,pazopanib
D06BB04,podophyllotoxin,947705,8463,podofilox
N06BA12,lisdexamfetamine,709567,700810,Lisdexamfetamine
P03AC03,phenothrin,19023819,33303,phenothrin
R05DB02,benproperine,19056541,236749,benproperine
L02BG03,anastrozole,1348265,84857,anastrozole
N05AE03,sertindole,19050633,41996,sertindole
N05CA05,aprobarbital,19030299,17381,aprobarbital
R06AE09,levocetirizine,1136422,356887,levocetirizine
L01BB06,clofarabine,19054821,44151,clofarabine
P01CA02,benznidazole,19018545,18994,benzonidazole
J05AE07,fosamprenavir,1736829,358262,fosamprenavir
N03AF04,eslicarbazepine,44507780,1482502,eslicarbazepine
H05BA02,calcitonin (pork natural),19009458,107018,Pork calcitonin
P01CX03,eflornithine,978236,569,Eflornithine
A05BA06,ornithine oxoglurate,44507722,1482634,ornithine alpha-ketoglutarate
J06BB18,raxibacumab,43013193,1366567,raxibacumab
D11AX22,ivermectin,1784444,6069,Ivermectin
B02BD13,coagulation factor X,44785022,4262,factor X
M02AA17,niflumic acid,19019023,7418,Niflumic Acid
A03AX12,phloroglucinol,19041222,8196,Phloroglucinol
J01XX04,spectinomycin,1701651,270,Spectinomycin
A11CA01,retinol (vit A),19008339,11246,Vitamin A
C03DA04,eplerenone,1309799,298869,eplerenone
A10BB03,tolbutamide,1502855,10635,Tolbutamide
L01XE12,vandetanib,40238052,1098413,Vandetanib
A10BX01,guar gum,1000979,26344,guar gum
J01MB07,flumequine,19064329,25112,flumequine
A10AE03,insulin (pork),42899447,1309342,"Insulin, Pork"
A10AD04,insulin lispro,1550023,86009,Insulin Lispro
S01BA13,rimexolone,977421,55681,rimexolone
N06AA05,opipramol,19129635,7674,Opipramol
A10BF02,miglitol,1510202,30009,miglitol
R05DA07,noscapine,19021930,7533,Noscapine
M02AA18,meclofenamic acid,19125097,6678,Meclofenamic Acid
A16AB08,galsulfase,19078649,578033,galsulfase
N05AF01,flupentixol,19055982,4495,Flupenthixol
C08CA16,clevidipine,19089969,233603,clevidipine
R03AC11,tulobuterol,19043191,38967,tulobuterol
A16AX10,eliglustat,45775782,1547220,eliglustat
D06AX02,chloramphenicol,990069,2348,Chloramphenicol
V03AB18,potassium permanganate,19135788,8604,Potassium Permanganate
C08CA05,nifedipine,1318853,7417,Nifedipine
D08AJ01,benzalkonium,916460,1378,Benzalkonium
A06AB02,bisacodyl,924939,1596,Bisacodyl
S01AA22,micronomicin,19072089,29996,micronomicin
N04BB01,amantadine,19087090,620,Amantadine
J01CA02,pivampicillin,19047071,8372,Pivampicillin
G03DB01,dydrogesterone,19040060,3706,Dydrogesterone
H03BA02,propylthiouracil,1554072,8794,Propylthiouracil
G03DC06,etynodiol,1595461,24591,ethynodiol
A10BB07,glipizide,1560171,4821,Glipizide
R01AD01,beclometasone,1115572,1347,Beclomethasone
J01DB05,cefadroxil,1769535,2177,Cefadroxil
V08AA01,diatrizoic acid,45775324,1546223,diatrizoic acid
D04AA14,clemastine,1197677,2578,Clemastine
R06AA04,clemastine,1197677,2578,Clemastine
N02BA11,diflunisal,1126128,3393,Diflunisal
G04BD05,terodiline,19100440,37815,terodiline
A03AA03,camylofin,19040527,20136,camylofine
N05BC01,meprobamate,702865,6760,Meprobamate
R05CB09,letosteine,19071861,28554,letosteine
R03DC03,montelukast,1154161,88249,montelukast
A03AB09,isopropamide,19058613,89784,Isopropamide
A03AX02,diisopromine,19091237,236206,DIISOPROMINE
M01AE01,ibuprofen,1177480,5640,Ibuprofen
C10AX12,lomitapide,43013119,1364479,lomitapide
N06BX14,prolintane,19029018,34604,prolintane
N06BA02,dexamfetamine,719311,3288,Dextroamphetamine
J01DF01,aztreonam,1715117,1272,Aztreonam
S01AD08,fomivirsen,19048999,85763,fomivirsen
B01AB12,bemiparin,19069137,280611,bemiparin
S01LA03,pegaptanib,19063605,498509,pegaptanib
J05AB06,ganciclovir,1757803,4678,Ganciclovir
R03AC03,terbutaline,1236744,10368,Terbutaline
A02BC04,rabeprazole,911735,114979,rabeprazole
C02DD01,nitroprusside,19020994,7476,Nitroprusside
R03DA07,theobromine,19137056,10437,Theobromine
V08AD03,propyliodone,19054048,8793,Propyliodone
L04AC10,secukinumab,45892883,1599788,secukinumab
A10BX10,lixisenatide,44506754,1440051,Lixisenatide
D09AA03,nitrofural,920378,7455,Nitrofurazone
L04AA24,abatacept,1186087,614391,abatacept
A02AC01,calcium carbonate,19035704,1897,Calcium Carbonate
A02BX09,acetoxolone,19018404,16784,Acetoxolone
V09FX01,technetium (99mTc) pertechnetate,44814442,1489762,Technetium Tc 99m Pertechnetate
L04AX05,pirfenidone,45775206,1592254,pirfenidone
S01AE08,besifloxacin,40161662,819911,besifloxacin
V03AB13,obidoxime,19053171,42826,Obidoxime
N06BX13,idebenone,19067036,51296,idebenone
R02AA18,hexamidine,19001599,26849,hexamidine
L01XC04,alemtuzumab,1312706,117055,alemtuzumab
B05CA01,cetylpyridinium,989301,2286,Cetylpyridinium
D08AC04,hexamidine,19001599,26849,hexamidine
D09AA07,cetylpyridinium,989301,2286,Cetylpyridinium
C10AA03,pravastatin,1551860,42463,Pravastatin
B02AB02,alfa1 antitrypsin,1169352,535,alpha 1-Antitrypsin
J01MA12,levofloxacin,1742253,82122,Levofloxacin
L02AA03,ethinylestradiol,1549786,4124,Ethinyl Estradiol
R07AB04,etamivan,19059472,24453,ethamivan
A12AA10,calcium glucoheptonate,19058867,47618,Calcium gluceptate
N01BA04,chloroprocaine,19049410,20859,chloroprocaine
R01AD11,triamcinolone,903963,10759,Triamcinolone
G03CC06,estriol,19049038,4094,Estriol
N01AB02,chloroform,43012199,1362698,Chloroform
B01AB06,nadroparin,19001014,67031,Nadroparin
N06AX06,nefazodone,714684,31565,nefazodone
B05CA09,neomycin,915981,7299,Neomycin
R03BA06,triamcinolone,903963,10759,Triamcinolone
S01BA05,triamcinolone,903963,10759,Triamcinolone
N02CC07,frovatriptan,1189458,228783,frovatriptan
R02AB01,neomycin,915981,7299,Neomycin
D11AC01,cetrimide,19007748,288088,Cetrimide
G01AX03,policresulen,19075109,54908,POLICRESULEN
N02AC04,dextropropoxyphene,1153664,8785,Propoxyphene
M04AA02,tisopurine,19100737,38136,tisopurine
S02DA02,cocaine,1001419,2653,Cocaine
N03AX30,beclamide,19018520,18846,Beclamide
N03AG02,valpromide,19054995,23420,dipropylacetamide
J05AE11,telaprevir,40239330,1102261,telaprevir
B03AA10,ferrous ascorbate,19054670,4356,Ferrous Ascorbate
R01AC03,azelastine,934075,18603,azelastine
G03GA01,chorionic gonadotrophin,1563600,4986,Chorionic Gonadotropin
N06BC01,caffeine,1134439,1886,Caffeine
R02AA11,chlorquinaldol,19095028,2407,Chlorquinaldol
A01AB04,amphotericin B,1717240,732,Amphotericin B
M02AA02,mofebutazone,19072129,30202,mofebutazone
A07EA05,tixocortol,19078460,57257,tixocortol
L01XE14,bosutinib,42900401,1307619,bosutinib
B05XA02,sodium bicarbonate,939506,36676,Sodium Bicarbonate
L03AB13,peginterferon beta-1a,45775146,1546168,peginterferon beta-1a
C02KB01,metirosine,1401581,266604,Metyrosine
J01DD13,cefpodoxime,1749008,20489,cefpodoxime
B01AA07,acenocoumarol,19024063,154,Acenocoumarol
P03AX03,malathion,993979,6606,Malathion
J01EB05,sulfafurazole,1836503,10207,Sulfisoxazole
J01AA04,lymecycline,19092353,6513,Lymecycline
B03AD03,ferrous sulfate,1396131,24947,ferrous sulfate
C01CA07,dobutamine,1337720,3616,Dobutamine
N02BB01,phenazone,1036059,1001,Antipyrine
C03AA04,chlorothiazide,992590,2396,Chlorothiazide
D10AF01,clindamycin,997881,2582,Clindamycin
D07AC03,desoximetasone,917336,3255,Desoximetasone
A03AA09,difemerine,19018362,163406,difemerine
N01BB09,ropivacaine,1136487,35780,ropivacaine
S01AA02,chlortetracycline,19095043,2408,Chlortetracycline
H01AB01,thyrotropin alfa,19063297,4952,thyrotropin alfa (USP)
D01BA02,terbinafine,1741309,37801,terbinafine
C10AA08,pitavastatin,40165636,861634,pitavastatin
G02CB05,metergoline,19004626,6834,Metergoline
B01AD07,reteplase,19024191,76895,Reteplase
C07AB04,acebutolol,1319998,149,Acebutolol
N02AA05,oxycodone,1124957,7804,Oxycodone
L03AA02,filgrastim,1304850,68442,Filgrastim
S01XA04,potassium iodide,19049909,8597,Potassium Iodide
V08AC06,iopanoic acid,19081256,5967,Iopanoic Acid
P01BE03,artesunate,19018511,18346,artesunate
B01AB07,parnaparin,19008276,69528,parnaparin
P01BX01,halofantrine,1766340,50749,halofantrine
C07AA07,sotalol,1370109,9947,Sotalol
M01AC04,droxicam,19056645,23687,droxicam
H01AC03,mecasermin,1502877,274403,mecasermin
R01AA06,tetryzoline,941577,37935,tetrahydrozoline
C04AX02,phenoxybenzamine,1335301,8149,Phenoxybenzamine
N06AA16,dosulepin,19037989,3634,Dothiepin
S01GA02,tetryzoline,941577,37935,tetrahydrozoline
J01DD12,cefoperazone,1773402,2184,Cefoperazone
S01EA02,dipivefrine,990009,23410,Dipivefrin
C10AD03,nicofuranose,19004049,104486,nicofuranose
A02BX01,carbenoxolone,19040563,2017,Carbenoxolone
G04BD02,flavoxate,954853,4440,Flavoxate
L01AB02,treosulfan,19042545,38508,treosulfan
N05CA19,thiopental,700253,10493,Thiopental
H01AA01,corticotropin,1541079,376,Corticotropin
P03AB02,lindane,916751,1388,Lindane
N03AG05,progabide,19095776,34568,progabide
A06AD12,lactitol,19071236,28395,lactitol
D11AH02,pimecrolimus,915935,321952,Pimecrolimus
N02AF01,butorphanol,1133732,1841,Butorphanol
L04AD02,tacrolimus,950637,42316,Tacrolimus
J05AF02,didanosine,1724869,3364,Didanosine
L01XC10,ofatumumab,40167582,712566,ofatumumab
H03BC01,potassium perchlorate,19027339,34318,potassium perchlorate
H05BX03,doxercalciferol,1512446,11516,Doxercalciferol
C01BA01,quinidine,1360421,9068,Quinidine
C01CA14,dopexamine,19056154,23638,dopexamine
L04AA22,abetimus,42900395,1311600,abetimus
J04AK03,terizidone,19078424,57047,terizidone
A10AB06,insulin glulisine,1544838,400008,"Insulin, Glulisine, Human"
N06BX06,citicoline,40223464,997602,Citicoline
J05AX15,sofosbuvir,44785094,1484911,sofosbuvir
R05CB16,mannitol,994058,6628,Mannitol
J01MA03,pefloxacin,19027679,7960,Pefloxacin
C01DX02,prenylamine,19051285,8674,Prenylamine
D07AC02,fluclorolone,19009949,108091,Fluclorolone
L01XE08,nilotinib,1394023,662281,nilotinib
J01DD14,ceftibuten,1749083,20492,ceftibuten
J01XA02,teicoplanin,19078399,57021,Teicoplanin
J02AB02,ketoconazole,985708,6135,Ketoconazole
L01XX35,anagrelide,1381253,596724,anagrelide
D01AC11,oxiconazole,918222,32638,oxiconazole
G03XB01,mifepristone,1508439,6964,Mifepristone
N06AA10,nortriptyline,721724,7531,Nortriptyline
C08CA09,lacidipine,19004539,28382,lacidipine
R03AC19,olodaterol,45775116,1546059,olodaterol
P01AB06,nimorazole,19019176,7427,Nimorazole
J01BA02,thiamphenicol,19137362,10463,Thiamphenicol
C02AA02,reserpine,1362225,9260,Reserpine
G04BX03,acetohydroxamic acid,929542,16728,acetohydroxamic acid
G03XC05,ospemifene,43525773,1370971,Ospemifene
L02AE02,leuprorelin,1351541,42375,Leuprolide
D05BA02,methoxsalen,905223,6854,Methoxsalen
M02AX06,tolperisone,19003296,10639,Tolperisone
N05AE02,molindone,709699,7019,Molindone
B01AC13,abciximab,19047423,83929,abciximab
V04CJ02,protirelin,19001701,10580,Thyrotropin-Releasing Hormone
C08CA02,felodipine,1353776,4316,Felodipine
J06BB05,rabies immunoglobulin,19135830,89886,"rabies immune globulin, human"
S02AA15,ciprofloxacin,1797513,2551,Ciprofloxacin
D07AC10,diflorasone,960988,91311,Diflorasone
N02BG06,nefopam,19015602,7285,Nefopam
J01DD08,cefixime,1796435,25033,Cefixime
J05AF11,telbivudine,1758392,474128,telbivudine
G03DB02,megestrol,1300978,6703,Megestrol
J01FA06,roxithromycin,19063874,9478,Roxithromycin
A10BG01,troglitazone,1515249,72610,troglitazone
D07AB21,clocortolone,950882,21249,clocortolone
L01XA02,carboplatin,1344905,40048,Carboplatin
A12CE01,sodium selenate,40171076,36717,sodium selenate
M02AA16,feprazone,19135796,8673,Feprazone
G01AF15,butoconazole,939784,19884,butoconazole
J01AA06,oxytetracycline,925952,7821,Oxytetracycline
B03AA03,ferrous gluconate,1396012,24942,ferrous gluconate
B05BB03,trometamol,19006047,10865,Tromethamine
L01CA02,vincristine,1308290,11202,Vincristine
D08AG02,povidone-iodine,1750087,8611,Povidone-Iodine
N01AX13,nitrous oxide,19021129,7486,Nitrous Oxide
C10AB09,etofibrate,19060156,24609,etofibrate
A07EA03,prednisone,1551099,8640,Prednisone
A02AB01,aluminium hydroxide,985247,612,Aluminum Hydroxide
C08CA04,nicardipine,1318137,7396,Nicardipine
N05CA21,allobarbital,19113034,516,allobarbital
N01AB04,enflurane,743196,3920,Enflurane
A05AA03,cholic acid,44506782,1440856,Cholic Acid
N05BA08,bromazepam,19030353,1749,Bromazepam
M02AA08,felbinac,19100761,262307,Felbinac
N04AA05,profenamine,19050123,4134,profenamine
N05AA01,chlorpromazine,794852,2403,Chlorpromazine
L01CA01,vinblastine,19008264,11198,Vinblastine
A10BH05,linagliptin,40239216,1100699,Linagliptin
L01BB03,tioguanine,1437379,10485,Thioguanine
C02BB01,mecamylamine,1394333,6673,Mecamylamine
J01CF06,nafcillin,1713930,7233,Nafcillin
A12AA13,calcium citrate,19058572,47613,Calcium Citrate
N06AB04,citalopram,797617,2556,Citalopram
J01EB02,sulfamethizole,1036425,10179,Sulfamethizole
N02BE01,paracetamol,1125315,161,Acetaminophen
A10BC01,glymidine,19001441,102848,glymidine
D06BA01,silver sulfadiazine,966956,9793,silver sulfadiazine
J05AX08,raltegravir,1712889,719872,raltegravir
D08AX03,propanol,43012215,1362872,1-Propanol
N06AX23,desvenlafaxine,717607,734064,Desvenlafaxine
B05CA04,sulfamethizole,1036425,10179,Sulfamethizole
V03AB31,prussian blue,19095769,24902,Prussian blue
A16AB12,elosulfase alfa,44814525,1489914,ELOSULFASE ALFA
L01CA03,vindesine,19008336,11204,Vindesine
M03AA01,alcuronium,19056758,460,Alcuronium
R01AA09,tramazoline,19042445,38453,tramazoline
V03AF02,dexrazoxane,1353011,42736,Dexrazoxane
R03CC13,clenbuterol,19097824,2580,Clenbuterol
L01BC08,decitabine,19024728,15657,decitabine
S01AA15,dihydrostreptomycin,45776730,1549540,Dihydrostreptomycin
V03AC03,deferasirox,1786055,614373,deferasirox
R06AX23,pimethixene,19093165,33712,pimethixene
A16AX02,anethole trithione,19041226,820,Anethole Trithione
S01FB03,ibopamine,19113028,51253,ibopamine
D07AC06,diflucortolone,19026096,3392,Diflucortolone
A03AA05,trimebutine,19005512,10819,Trimebutine
R03AC14,clenbuterol,19097824,2580,Clenbuterol
N06AX24,vilazodone,40234834,1086769,vilazodone
A11HA04,riboflavin (vit B2),19062817,9346,Riboflavin
J01EB06,sulfanilamide,1036475,10184,Sulfanilamide
C01DA13,eritrityl tetranitrate,19045644,4040,Erythrityl Tetranitrate
R06AA08,carbinoxamine,1141018,20220,carbinoxamine
C04AX28,ifenprodil,19069103,27403,ifenprodil
S01FA02,scopolamine,965748,9601,Scopolamine
B02BX04,romiplostim,19032407,805452,romiplostim
S01BC08,salicylic acid,964407,9525,Salicylic Acid
D07AB06,fluorometholone,955583,4491,Fluorometholone
R03CC04,fenoterol,19053979,4333,Fenoterol
D03AX02,dextranomer,19088340,22708,dextranomer
