atc_concept_code,atc_concept_name,atc_concept_id,ingredient_concept_code,ingredient_concept_name,ingredient_concept_id,standard_concept,relationship_ids,n_relationships
J04AA01,4-aminosalicylic acid,21603092,7833,aminosalicylic acid,1726228,S,"ATC - RxNorm,Inferred class of,Maps to",3
V03AB27,4-dimethylaminophenol,21605252,15027,4-dimethylaminophenol,19012223,S,"ATC - RxNorm,Inferred class of,Maps to",3
L03AX03,BCG vaccine,21603877,221050,"BCG, Live, Tice Strain",19086176,S,Inferred class of,1
L03AX03,BCG vaccine,21603877,76469,"BCG, Live, Connaught Strain",19023835,S,Inferred class of,1
L03AX03,BCG vaccine,21603877,1344,BCG Vaccine,19015423,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01AX23,BESIFLOXACIN,40256849,819911,besifloxacin,40161662,S,"ATC - RxNorm name,Inferred class of",2
B06AA11,BROMELAINS,21601233,1752,Bromelains,19030387,S,"ATC - RxNorm name,Inferred class of",2
S01AX13,CIPROFLOXACIN,21603607,2551,Ciprofloxacin,1797513,S,"ATC - RxNorm name,Inferred class of",2
N01AX01,DROPERIDOL,21604209,3648,Droperidol,739323,S,"ATC - RxNorm name,Inferred class of",2
B03AC06,FERRIC OXIDE DEXTRAN COMPLEXES,21601106,5992,Iron-Dextran Complex,1381661,S,Inferred class of,1
B03AC07,FERRIC SODIUM GLUCONATE COMPLEX,21601107,261435,Sodium ferric gluconate complex,1399177,S,Inferred class of,1
B02BC10,"FIBRINOGEN, HUMAN",21601058,831503,fibrinogen concentrate (human),19044986,S,Inferred class of,1
S01AX21,GATIFLOXACIN,21603614,228476,gatifloxacin,1789276,S,"ATC - RxNorm name,Inferred class of",2
N06DX02,Ginkgo folium,21604800,259471,Korean Ginseng Root Extract,19098769,S,Inferred class of,1
N06DX02,Ginkgo folium,21604800,236809,Ginkgo biloba extract,1391889,S,Inferred class of,1
N06DX02,Ginkgo folium,21604800,259265,Ginkgo Biloba Leaf Extract,19098505,S,Inferred class of,1
H01CA03,HISTRELIN,21602713,50975,histrelin,1366773,S,"ATC - RxNorm name,Inferred class of",2
C05CX03,Hippocastani semen,40255508,260020,HORSE CHESTNUT SEED,19099049,S,Inferred class of,1
N06AX25,Hyperici herba,40252223,258326,ST. JOHN'S WORT EXTRACT,1398039,S,Inferred class of,1
J06B,IMMUNOGLOBULINS,21601254,5720,Immunoglobulins,19119921,,ATC - RxNorm name,1
S01AX19,LEVOFLOXACIN,21603613,82122,Levofloxacin,1742253,S,"ATC - RxNorm name,Inferred class of",2
S01AX17,LOMEFLOXACIN,21603611,28872,lomefloxacin,1707800,S,"ATC - RxNorm name,Inferred class of",2
J05AE06,LOPINAVIR,21603154,195088,lopinavir,1738170,S,ATC - RxNorm name,1
S01AX22,MOXIFLOXACIN,21603615,29998,ocriplasmin,42904298,S,Inferred class of,1
S01AX22,MOXIFLOXACIN,21603615,139462,moxifloxacin,1716903,S,"ATC - RxNorm name,Inferred class of",2
S01AX12,NORFLOXACIN,21603606,7517,Norfloxacin,1721543,S,"ATC - RxNorm name,Inferred class of",2
S01AX11,OFLOXACIN,21603605,7623,Ofloxacin,923081,S,"ATC - RxNorm name,Inferred class of",2
G04CX01,Prunus africanae cortex,21602678,236466,Pygeum Africanum Preparation,1391440,S,Inferred class of,1
B01AX06,RIVAROXABAN,21601031,1114195,rivaroxaban,40241331,S,"ATC - RxNorm name,Inferred class of",2
B03AC02,SACCHARATED IRON OXIDE,21601103,473387,ferumoxytol,40163731,S,Inferred class of,1
B03AC02,SACCHARATED IRON OXIDE,21601103,24909,"ferric oxide, saccharated",1395773,S,Inferred class of,1
G04CX02,Sabalis serrulatae fructus,21602679,466570,pumpkin seed oil,19112533,S,Inferred class of,1
G04CX02,Sabalis serrulatae fructus,21602679,236344,Saw palmetto extract,1391307,S,Inferred class of,1
A03AE02,TEGASEROD,21600171,139778,tegaserod,916943,S,"ATC - RxNorm name,Inferred class of",2
N05CM09,Valerianae radix,21604670,253206,valerian root extract,1397059,S,Inferred class of,1
J05AF06,abacavir,21603165,190521,abacavir,1736971,S,"ATC - RxNorm,Inferred class of,Maps to",3
L02BX01,abarelix,21603846,301739,abarelix,19010868,S,"ATC - RxNorm,Inferred class of,Maps to",3
L04AA24,abatacept,21603905,614391,abatacept,1186087,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AC13,abciximab,21600997,83929,abciximab,19047423,S,"ATC - RxNorm,Inferred class of,Maps to",3
L04AA22,abetimus,21603903,1311600,abetimus,42900395,S,"ATC - RxNorm,Maps to",2
L02BX03,abiraterone,40253469,1100072,abiraterone,40239056,S,"ATC - RxNorm,Inferred class of,Maps to",3
N07BB03,acamprosate,21604823,82819,acamprosate,19043959,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10BF01,acarbose,21600776,16681,Acarbose,1529331,S,"ATC - RxNorm,Inferred class of,Maps to",3
C07AB04,acebutolol,21601686,149,Acebutolol,1319998,S,"ATC - RxNorm,Inferred class of,Maps to",3
M02AA25,aceclofenac,21604060,16689,aceclofenac,19029393,S,"ATC - RxNorm,Inferred class of,Maps to",3
M01AB16,aceclofenac,21603956,16689,aceclofenac,19029393,S,"ATC - RxNorm,Inferred class of,Maps to",3
M01AB11,acemetacin,21603951,16695,acemetacin,19029398,S,"ATC - RxNorm,Inferred class of,Maps to",3
B01AA07,acenocoumarol,21600967,154,Acenocoumarol,19024063,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05AA04,acepromazine,21604495,155,Acepromazine,19018226,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01EC01,acetazolamide,21603693,167,Acetazolamide,929435,S,"ATC - RxNorm,Inferred class of,Maps to",3
G01AD02,acetic acid,21602386,168,Acetic Acid,929549,S,"ATC - RxNorm,Inferred class of,Maps to",3
S02AA10,acetic acid,21605156,168,Acetic Acid,929549,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10BB31,acetohexamide,21600762,173,Acetohexamide,1530014,S,"ATC - RxNorm,Inferred class of,Maps to",3
G04BX03,acetohydroxamic acid,21602659,16728,acetohydroxamic acid,929542,S,"ATC - RxNorm,Inferred class of,Maps to",3
N05AB07,acetophenazine,21604506,16735,acetophenazine,19029555,S,"ATC - RxNorm,Inferred class of,Maps to",3
A02BX09,acetoxolone,21600118,16784,Acetoxolone,19018404,S,"ATC - RxNorm,Inferred class of,Maps to",3
N06BX12,acetylcarnitine,21604780,193,Acetylcarnitine,19037596,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01EB09,acetylcholine,21603688,194,Acetylcholine,19037624,S,"ATC - RxNorm,Inferred class of,Maps to",3
R05CB01,acetylcysteine,21603380,197,Acetylcysteine,1139042,S,"ATC - RxNorm,Inferred class of,Maps to",3
V03AB23,acetylcysteine,21605248,197,Acetylcysteine,1139042,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01XA08,acetylcysteine,21605134,197,Acetylcysteine,1139042,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01AA01,acetyldigitoxin,21601241,132871,Acetyldigitoxin,19011193,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01AA02,acetyldigoxin,21601242,199,Acetyldigoxins,19020949,S,"ATC - RxNorm,Maps to",2
N02BA01,acetylsalicylic acid,21604305,1191,Aspirin,1112807,S,"ATC - RxNorm,Inferred class of,Maps to",3
A01AD05,acetylsalicylic acid,21600041,1191,Aspirin,1112807,S,"ATC - RxNorm,Maps to",2
B01AC06,acetylsalicylic acid,21600991,1191,Aspirin,1112807,S,"ATC - RxNorm,Inferred class of,Maps to",3
N02BA51,"acetylsalicylic acid, combinations excl. psycholeptics",21604320,1191,Aspirin,1112807,S,Inferred class of,1
J05AB01,aciclovir,21603131,281,Acyclovir,1703687,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01AD03,aciclovir,21603588,281,Acyclovir,1703687,S,"ATC - RxNorm,Maps to",2
D06BB03,aciclovir,21602085,281,Acyclovir,1703687,S,"ATC - RxNorm,Inferred class of,Maps to",3
C10AD06,acipimox,21601886,16817,acipimox,19029644,S,"ATC - RxNorm,Inferred class of,Maps to",3
D05BB02,acitretin,21602051,16818,Acitretin,929638,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01DB04,aclarubicin,21603735,239,Aclarubicin,19057483,S,"ATC - RxNorm,Inferred class of,Maps to",3
R03BB05,aclidinium bromide,43534847,1303097,aclidinium bromide,46274475,,ATC - RxNorm,1
R03BB05,aclidinium bromide,43534847,1303098,aclidinium,42873639,S,Inferred class of,1
R06AX18,acrivastine,21603518,19959,acrivastine,1140123,S,"ATC - RxNorm,Inferred class of,Maps to",3
L04AB04,adalimumab,21603911,327361,adalimumab,1119119,S,"ATC - RxNorm,Inferred class of,Maps to",3
D10AD03,adapalene,21602295,60223,adapalene,981774,S,"ATC - RxNorm,Inferred class of,Maps to",3
J05AF08,adefovir dipivoxil,21603167,16521,adefovir,1729323,S,Inferred class of,1
J05AF08,adefovir dipivoxil,21603167,141400,adefovir dipivoxil,19011439,,ATC - RxNorm,1
A16AA02,ademetionine,21600936,9504,S-Adenosylmethionine,1363981,S,"ATC - RxNorm,Maps to",2
C01EB10,adenosine,21600371,318,Adenosine Triphosphate,19015230,S,Inferred class of,1
C01EB10,adenosine,21600371,296,Adenosine,1309204,S,"ATC - RxNorm,Inferred class of,Maps to",3
V08AC04,adipiodone,21605402,5936,Iodipamide,19080817,S,"ATC - RxNorm,Maps to",2
N06BX17,adrafinil,21604785,45938,adrafinil,19112518,S,"ATC - RxNorm,Inferred class of,Maps to",3
A01AD06,adrenalone,21600042,17073,adrenalone,19018407,S,"ATC - RxNorm,Maps to",2
B02BC05,adrenalone,21601053,17073,adrenalone,19018407,S,"ATC - RxNorm,Maps to",2
L01XE13,afatinib,40253395,1430438,Afatinib,43533090,S,"ATC - RxNorm,Maps to",2
L01XX44,aflibercept,43534816,1232150,aflibercept,40244266,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01LA05,aflibercept,40257019,1232150,aflibercept,40244266,S,"ATC - RxNorm,Inferred class of,Maps to",3
A16AB03,agalsidase alfa,21600944,299582,agalsidase alfa,19009965,S,"ATC - RxNorm,Maps to",2
A16AB04,agalsidase beta,21600945,338817,agalsidase beta,1525746,S,"ATC - RxNorm,Inferred class of,Maps to",3
C01BA05,ajmaline,21600254,423,Ajmaline,19105879,S,"ATC - RxNorm,Inferred class of,Maps to",3
B05XB02,alanyl glutamine,21601217,1359422,alanylglutamine,42904285,S,"ATC - RxNorm,Maps to",2
P02CA03,albendazole,21604943,430,Albendazole,1753745,S,"ATC - RxNorm,Inferred class of,Maps to",3
A10BX13,albiglutide,45893266,1534763,albiglutide,44816332,S,"ATC - RxNorm,Maps to",2
B05AA01,albumin,21601139,433,Albumins,19107703,S,"ATC - RxNorm,Maps to",2
B05AA01,albumin,21601139,828529,"Albumin Human, USP",1344143,S,Inferred class of,1
S01GX11,alcaftadine,43534864,1000082,alcaftadine,40224159,S,"ATC - RxNorm,Inferred class of,Maps to",3
D07AB10,alclometasone,21602114,108088,Alclometasone,905151,S,"ATC - RxNorm,Inferred class of,Maps to",3
S01BA10,alclometasone,21603627,108088,Alclometasone,905151,S,"ATC - RxNorm,Inferred class of,Maps to",3
M03AA01,alcuronium,21604072,460,Alcuronium,19056758,S,"ATC - RxNorm,Inferred class of,Maps to",3
L03AC01,aldesleukin,21603872,70223,Aldesleukin,1309770,S,"ATC - RxNorm,Inferred class of,Maps to",3
H02AA01,aldosterone,21602725,1312358,Aldosterone,42903427,S,"ATC - RxNorm,Maps to",2
L04AA15,alefacept,21603899,299635,alefacept,909959,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XC04,alemtuzumab,21603758,117055,alemtuzumab,1312706,S,"ATC - RxNorm,Inferred class of,Maps to",3
L04AA34,alemtuzumab,45893494,117055,alemtuzumab,1312706,S,"ATC - RxNorm,Maps to",2
M05BA04,alendronic acid,21604152,236083,Alendronic acid,19055729,,"ATC - RxNorm,Inferred class of",2
B02AB02,alfa1 antitrypsin,21601040,535,alpha 1-Antitrypsin,1169352,S,"ATC - RxNorm,Maps to",2
B02AB02,alfa1 antitrypsin,21601040,991743,"alpha 1-proteinase inhibitor, human",40181679,,Inferred class of,1
A11CC03,alfacalcidol,21600818,12062,Alfacalcidol,19014202,S,"ATC - RxNorm,Inferred class of,Maps to",3
N01AX05,alfaxalone,21604212,1544577,alfaxalone,45774409,S,"ATC - RxNorm,Maps to",2
N01AH02,alfentanil,21604202,480,Alfentanil,19059528,S,"ATC - RxNorm,Inferred class of,Maps to",3
G04CA01,alfuzosin,21602668,17300,alfuzosin,930021,S,"ATC - RxNorm,Inferred class of,Maps to",3
A02AB02,algeldrate,21600057,613,Aluminum Hydroxide Gel,19123345,,ATC - RxNorm,1
A02BX13,alginic acid,21600122,17305,alginic acid,19030059,S,"ATC - RxNorm,Inferred class of,Maps to",3
A16AB01,alglucerase,21600942,46049,alglucerase,19057354,S,"ATC - RxNorm,Inferred class of,Maps to",3
A16AB07,alglucosidase alfa,21600948,629565,alglucosidase alfa,19088328,S,"ATC - RxNorm,Inferred class of,Maps to",3
R06AD01,alimemazine,21603480,10825,Trimeprazine,19005570,S,"ATC - RxNorm,Inferred class of,Maps to",3
C09XA02,aliskiren,21601851,325646,aliskiren,1317967,S,"ATC - RxNorm,Inferred class of,Maps to",3
L01XX22,alitretinoin,21603798,81864,alitretinoin,941052,S,"ATC - RxNorm,Inferred class of,Maps to",3
