vnr,drug_concept_id,concept_class_id,pname,frequency,strnum,strunut,dosf_lt,concept_name,note
37853,19049577,Clinical Drug Comp,Kaleorid,12498,750,MG,depottabletter,Potassium Chloride 750 MG,Manual mapping
192617,19107339,Clinical Drug,Centyl med Kaliumklorid,11896,,,overtrukne tabletter,Bendroflumethiazide 2.5 MG / Potassium Chloride 573 MG Extended Release Oral Tablet,Manual mapping
24618,19004043,Clinical Drug,Hjertemagnyl,11653,75,MG,filmovertrukne tabletter,Aspirin 75 MG Oral Tablet,""
474718,19020053,Clinical Drug,Pamol,9778,500,MG,filmovertrukne tabletter,Acetaminophen 500 MG Oral Tablet,Manual mapping
183400,1326349,Clinical Drug,"Digoxin ""DAK""",8242,62.5,RG,tabletter,Digoxin 0.0625 MG Oral Tablet,Manual mapping
37846,19049577,Clinical Drug Comp,Kaleorid,7882,750,MG,depottabletter,Potassium Chloride 750 MG,Manual mapping
519371,19021575,Clinical Drug,"Magnyl ""DAK""",7114,100,MG,enterotabletter,Aspirin 100 MG Delayed Release Oral Tablet,""
5899,40164929,Clinical Drug,"Metformin ""Actavis""",6661,500,MG,filmovertrukne tabletter,Metformin hydrochloride 500 MG Oral Tablet,""
12609,40016517,Clinical Drug Form,Primcillin,6229,800,MG,filmovertrukne tabletter,Bromhexine / Penicillin V Oral Tablet,""
12609,40067083,Clinical Drug Form,Primcillin,6229,800,MG,filmovertrukne tabletter,Penicillin V Oral Tablet,""
116657,40163534,Clinical Drug,Marevan,6199,2.5,MG,tabletter,Warfarin Sodium 2.5 MG Oral Tablet,Manual mapping
19745,957136,Clinical Drug,Furix,5681,40,MG,tabletter,Furosemide 40 MG Oral Tablet,Manual mapping
19513,957136,Clinical Drug,Furix,5389,40,MG,tabletter,Furosemide 40 MG Oral Tablet,Manual mapping
494831,1331271,Clinical Drug,Persantin Retard,5349,200,MG,"depotkapsler, hårde",Dipyridamole 200 MG Extended Release Oral Capsule,Manual mapping
50526,1113262,Clinical Drug Comp,Hjertemagnyl,5328,150,MG,tabletter,Aspirin 150 MG,Manual mapping
56250,19020053,Clinical Drug,Pinex,4770,500,MG,filmovertrukne tabletter,Acetaminophen 500 MG Oral Tablet,Manual mapping
128348,40011852,Clinical Drug Form,Centyl Mite med Kaliumklorid,4497,,,overtrukne tabletter,Bendroflumethiazide / Potassium Chloride Oral Tablet,Manual mapping
149203,1154415,Clinical Drug,Ventoline,4367,0.1,MGD,"inhalationsspray, suspension",Albuterol 0.1 MG/ACTUAT Inhalant Solution,Manual mapping
