vnr,frequency,sum
37853,12498,0.0133806978775888
192617,11896,0.0261168782225877
24618,11653,0.0385928961748634
474718,9778,0.0490614882573616
183400,8242,0.0578855970673382
37846,7882,0.0663242801103174
519371,7114,0.0739407215170358
5899,6661,0.081072168833616
12609,6229,0.0877411052297994
116657,6199,0.0943779228120664
19745,5681,0.10046015554071
19513,5389,0.106229765147233
494831,5349,0.111956549668534
50526,5328,0.117660851020094
56250,4770,0.122767742432807
128348,4497,0.127582352638882
149203,4367,0.132257781317985
13102,4118,0.136666623841581
145268,4079,0.141033711907087
186023,3641,0.144931865289412
166406,3611,0.148797899857821
19019,3609,0.152661793171968
510313,3457,0.156362951162273
579177,3414,0.160018072185964
491787,3328,0.167144166366891
124347,3328,0.167144166366891
688003,3220,0.170591585727256
8453,3213,0.174031510697706
59071,3157,0.177411480548846
139170,3138,0.180771108484506
388363,3064,0.184051510012505
7535,3018,0.187282662692499
415679,3007,0.190502038474057
516039,2966,0.193677518543262
429555,2953,0.19683908045977
65052,2777,0.199812212001302
83865,2647,0.202646162015862
388371,2639,0.205471547013379
516195,2591,0.208245541908628
95828,2468,0.210887849666821
41830,2460,0.213521592407969
588905,2420,0.216112510063895
11244,2419,0.218702357092691
24198,2380,0.221250449663395
688002,2318,0.223732163352005
447490,2282,0.226175334463916
487934,2260,0.228594951778954
172973,2181,0.230929989550679
143800,2151,0.233232908508488
458356,2116,0.235498355516727
415141,2110,0.237757378762184
74702,2018,0.23991790431163
74691,1949,0.242004556589068
59014,1943,0.244084785103722
579128,1893,0.24611148226185
149625,1883,0.248127473148672
5588,1881,0.250141322781232
541060,1878,0.252151960532401
141119,1858,0.25414118574096
17248,1841,0.256112210288298
388314,1797,0.258036127241893
24503,1795,0.259957902941227
62737,1785,0.261868972369255
183418,1755,0.263747922983367
373365,1741,0.265611884817651
382507,1730,0.267464069753499
22293,1719,0.269304477790911
18978,1705,0.271129897048495
79061,1700,0.272949963170427
40833,1678,0.274746475495486
90084,1662,0.276525857786457
588939,1635,0.278276333144903
17218,1597,0.279986124672388
493718,1595,0.281693774945612
174813,1591,0.283397142710314
65706,1587,0.285096227966494
588871,1584,0.286792101341282
100025,1578,0.288481550953286
388322,1545,0.290135669869983
474551,1534,0.293420353906504
512855,1534,0.293420353906504
11018,1529,0.295057342789112
135533,1515,0.296679342891892
139162,1496,0.298281001079192
20444,1489,0.299875164876578
24231,1488,0.301468258046834
23993,1484,0.303057068708567
180729,1446,0.304605195539339
407777,1438,0.306144757353067
13679,1427,0.307672542268359
559062,1419,0.309191762166607
13701,1397,0.310687428267982
490466,1359,0.312142410538397
20343,1350,0.313587757164637
93278,1348,0.315030962536615
70233,1345,0.316470956027202
97139,1323,0.317887395720917
197400,1298,0.319277069736369
409748,1296,0.320664602497559
