vnr,ingredient_concept_id,drug_concept_id,concept_class_id,ma,pname,frequency,streng,strengtodecimal,dosf_lt,ao,concept_name,ingredient_concept_name,amount_value,numerator_value,denominator_value,dose_concept_id
5,735979,19102476,Clinical Drug,|,Risperdal,486,"0,5 mg",0.5,filmovertrukne tabletter,|,Risperidone 0.5 MG Disintegrating Oral Tablet,Risperidone,0.5,,,19082076
5,735979,736021,Clinical Drug,|,Risperdal,486,"0,5 mg",0.5,filmovertrukne tabletter,|,Risperidone 0.5 MG Oral Tablet,Risperidone,0.5,,,19082573
5,735979,736092,Clinical Drug Comp,|,Risperdal,486,"0,5 mg",0.5,filmovertrukne tabletter,|,Risperidone 0.5 MG,Risperidone,0.5,,,
125,1351557,1351558,Clinical Drug,|,Atacand,75,4 mg,4,tabletter,|,candesartan cilexetil 4 MG Oral Tablet,candesartan,4,,,19082573
125,1351557,19113470,Clinical Drug Comp,|,Atacand,75,4 mg,4,tabletter,|,candesartan cilexetil 4 MG,candesartan,4,,,
240,905233,42902513,Clinical Drug,|,Elocon,128,0.10%,0.10,kutanoplÃ¸sning,|,mometasone furoate 0.1 MG/ACTUAT Dry Powder Inhaler,Mometasone,,0.1,,19127579
240,905233,45774888,Clinical Drug,|,Elocon,128,0.10%,0.10,kutanoplÃ¸sning,|,mometasone furoate 0.1 MG/ACTUAT Inhalant Powder,Mometasone,,0.1,,19082259
240,905233,44818263,Clinical Drug,|,Elocon,128,0.10%,0.10,kutanoplÃ¸sning,|,mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler,Mometasone,,0.1,,19126918
240,905233,19129880,Clinical Drug,|,Elocon,128,0.10%,0.10,kutanoplÃ¸sning,|,mometasone furoate 0.1 MG/ML Inhalant Powder,Mometasone,,0.1,,19082259
240,905233,19129672,Clinical Drug Comp,|,Elocon,128,0.10%,0.10,kutanoplÃ¸sning,|,mometasone furoate 0.1 MG/ACTUAT,Mometasone,,0.1,,
240,905233,19129879,Clinical Drug Comp,|,Elocon,128,0.10%,0.10,kutanoplÃ¸sning,|,mometasone furoate 0.1 MG/ML,Mometasone,,0.1,,
272,939259,,,|,Pulmicort Turbuhaler,132,400 mikg/dosis,400,inhalationspulver,|,,Budesonide,,,,
274,,,,|,Sesal,264,"0,25 mg/ml + 5 mg/ml",,Ã¸jendrÃ¥ber,|,,,,,,
279,935390,,,|,"Resorcinol ""Ophtha""",389,1%,1,Ã¸jendrÃ¥ber,|,,resorcinol,,,,
290,1597235,1597238,Clinical Drug,|,Puregon,45,300 IE,300,"injektionsvÃ¦ske, oplÃ¸sning",|,follitropin beta 300 UNT/ML Injectable Solution,follitropin beta,,300,,19082103
290,1597235,1597240,Clinical Drug Comp,|,Puregon,45,300 IE,300,"injektionsvÃ¦ske, oplÃ¸sning",|,follitropin beta 300 UNT/ML,follitropin beta,,300,,
307,,,,|,Primcillin,30,250 mg/ml,250,"granulat til orale drÃ¥ber, oplÃ¸sning",|,,,,,,
316,1597235,,,|,Puregon,32,600 IE,600,"injektionsvÃ¦ske, oplÃ¸sning",|,,follitropin beta,,,,
323,,,,|,Berodual,154,,,inhalationsaerosol,|,,,,,,
328,939259,,,|,Pulmicort Turbuhaler,41,200 mikg/dosis,200,inhalationspulver,|,,Budesonide,,,,
339,939259,,,|,Pulmicort Turbuhaler,48,200 mikg/dosis,200,inhalationspulver,|,,Budesonide,,,,
344,939259,,,|,Pulmicort Turbuhaler,74,400 mikg/dosis,400,inhalationspulver,|,,Budesonide,,,,
373,1154077,1154080,Clinical Drug,|,Maxalt Smelt,71,10 mg,10,smeltetabletter,|,rizatriptan 10 MG Disintegrating Oral Tablet,rizatriptan,10,,,19082076
373,1154077,19080242,Clinical Drug,|,Maxalt Smelt,71,10 mg,10,smeltetabletter,|,rizatriptan 10 MG Oral Tablet,rizatriptan,10,,,19082573
373,1154077,19086105,Clinical Drug Comp,|,Maxalt Smelt,71,10 mg,10,smeltetabletter,|,rizatriptan 10 MG,rizatriptan,10,,,
421,,,,|,"Atacand Zid 16 mg/12,5 mg",51,"16 + 12,5 mg",,tabletter,|,,,,,,
448,905233,42902513,Clinical Drug,|,Elocon,34,0.10%,0.10,kutanoplÃ¸sning,|,mometasone furoate 0.1 MG/ACTUAT Dry Powder Inhaler,Mometasone,,0.1,,19127579
448,905233,45774888,Clinical Drug,|,Elocon,34,0.10%,0.10,kutanoplÃ¸sning,|,mometasone furoate 0.1 MG/ACTUAT Inhalant Powder,Mometasone,,0.1,,19082259
448,905233,44818263,Clinical Drug,|,Elocon,34,0.10%,0.10,kutanoplÃ¸sning,|,mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler,Mometasone,,0.1,,19126918
448,905233,19129880,Clinical Drug,|,Elocon,34,0.10%,0.10,kutanoplÃ¸sning,|,mometasone furoate 0.1 MG/ML Inhalant Powder,Mometasone,,0.1,,19082259
448,905233,19129672,Clinical Drug Comp,|,Elocon,34,0.10%,0.10,kutanoplÃ¸sning,|,mometasone furoate 0.1 MG/ACTUAT,Mometasone,,0.1,,
448,905233,19129879,Clinical Drug Comp,|,Elocon,34,0.10%,0.10,kutanoplÃ¸sning,|,mometasone furoate 0.1 MG/ML,Mometasone,,0.1,,
475,934075,,,|,Allergodil,70,0.05%,0.05,"Ã¸jendrÃ¥ber, oplÃ¸sning",|,,azelastine,,,,
514,,,,|,Tenoretic,65,100+25 mg,,filmovertrukne tabletter,|,,,,,,
525,,,,|,Tenoretic Mite,54,"50+12,5 mg",,filmovertrukne tabletter,|,,,,,,
534,,,,|,"Atacand Zid 16 mg/12,5 mg",134,"16 + 12,5 mg",,tabletter,|,,,,,,
548,986117,986148,Clinical Drug,|,Zaditen,103,"0,25 mg/ml",0.25,"Ã¸jendrÃ¥ber, oplÃ¸sning",|,Ketotifen 0.25 MG/ML Ophthalmic Solution,Ketotifen,,0.25,,19129634
548,986117,19085039,Clinical Drug Comp,|,Zaditen,103,"0,25 mg/ml",0.25,"Ã¸jendrÃ¥ber, oplÃ¸sning",|,Ketotifen 0.25 MG/ML,Ketotifen,,0.25,,
565,986117,986148,Clinical Drug,|,Zaditen,65,"0,25 mg/ml",0.25,"Ã¸jendrÃ¥ber, oplÃ¸sning, enkeltdosisbeholder",|,Ketotifen 0.25 MG/ML Ophthalmic Solution,Ketotifen,,0.25,,19129634
565,986117,19085039,Clinical Drug Comp,|,Zaditen,65,"0,25 mg/ml",0.25,"Ã¸jendrÃ¥ber, oplÃ¸sning, enkeltdosisbeholder",|,Ketotifen 0.25 MG/ML,Ketotifen,,0.25,,
609,1314002,1314043,Clinical Drug,|,Tenormin,39,50 mg,50,filmovertrukne tabletter,|,Atenolol 50 MG Oral Capsule,Atenolol,50,,,19082168
609,1314002,1314008,Clinical Drug,|,Tenormin,39,50 mg,50,filmovertrukne tabletter,|,Atenolol 50 MG Oral Tablet,Atenolol,50,,,19082573
609,1314002,1314049,Clinical Drug Comp,|,Tenormin,39,50 mg,50,filmovertrukne tabletter,|,Atenolol 50 MG,Atenolol,50,,,
612,1351557,1351558,Clinical Drug,|,Atacand,223,4 mg,4,tabletter,|,candesartan cilexetil 4 MG Oral Tablet,candesartan,4,,,19082573
