vnr,Danish name,Active Substance,frequency,drugid,atccode,rxnorm_id,ingredient_concept_id,ingredient_concept_name
6821,APO-go Pen,Apomorphinhydrochlorid,34,28103171500,N04BC07,1043,837027,Apomorphine
181040,Abalgin,,43,28100709276,,,,
504159,Abalgin,,52,28100469064,,,,
504183,Abalgin Retard,,154,28100511866,,,,
110014,Abalgin Retard,,37,28100511866,,,,
22533,Abboticin,ERYTHROMYCINETHYLSUCCINAT,87,28100627873,J01FA01,4053,1746940,Erythromycin
420372,Abboticin,ERYTHROMYCINSTEARAT,55,28100620972,J01FA01,4053,1746940,Erythromycin
88112,Abboticin,ERYTHROMYCINETHYLSUCCINAT,41,28101191784,J01FA01,4053,1746940,Erythromycin
411496,Abboticin,ERYTHROMYCINSTEARAT,144,28100620972,J01FA01,4053,1746940,Erythromycin
85845,Abboticin,ERYTHROMYCINETHYLSUCCINAT,47,28101191784,J01FA01,4053,1746940,Erythromycin
417337,Abboticin Novum,ERYTHROMYCINETHYLSUCCINAT,37,28101286986,J01FA01,4053,1746940,Erythromycin
11008,Abilify,Aripiprazol,163,28103334201,N05AX12,89013,757688,aripiprazole
95443,Abilify,Aripiprazol,43,28103334201,N05AX12,89013,757688,aripiprazole
10951,Abilify,Aripiprazol,64,28103334201,N05AX12,89013,757688,aripiprazole
28032,Abilify,Aripiprazol,84,28103334201,N05AX12,89013,757688,aripiprazole
101622,Abilify,Aripiprazol,26,28103532903,N05AX12,89013,757688,aripiprazole
410738,Accupro,QUINAPRILHYDROCHLORID,71,28101342988,C09AA06,35208,1331235,quinapril
496190,Accupro,,64,28101883497,,,,
410209,Accupro,QUINAPRILHYDROCHLORID,32,28101384689,C09AA06,35208,1331235,quinapril
410316,Accupro,QUINAPRILHYDROCHLORID,31,28101342888,C09AA06,35208,1331235,quinapril
496042,Accupro,,29,28101883397,,,,
2350,Accutin,Isotretinoin,172,28103153200,D10BA01,6064,984232,Isotretinoin
1256,Acepril,,34,28103023798,,,,
10589,Aciclodan,ACICLOVIR,48,28103002898,D06BB03,281,1703687,Acyclovir
57547,Aciclodan,ACICLOVIR,89,28101863296,J05AB01,281,1703687,Acyclovir
57554,Aciclodan,ACICLOVIR,142,28101863396,J05AB01,281,1703687,Acyclovir
57513,Aciclodan,ACICLOVIR,105,28101863196,J05AB01,281,1703687,Acyclovir
5415,"Aciclovir ""1A Farma""",,32,28103187300,,,,
44570,"Aciclovir ""1A Farma""",ACICLOVIR,35,28103529203,J05AB01,281,1703687,Acyclovir
82158,"Aciclovir ""2care4""",ACICLOVIR,64,28104607309,J05AB01,281,1703687,Acyclovir
82170,"Aciclovir ""2care4""",ACICLOVIR,51,28104607109,J05AB01,281,1703687,Acyclovir
78005,"Aciclovir ""Actavis""",ACICLOVIR,25,28101859496,J05AB01,281,1703687,Acyclovir
78015,"Aciclovir ""Actavis""",ACICLOVIR,111,28101859596,J05AB01,281,1703687,Acyclovir
77987,"Aciclovir ""Actavis""",ACICLOVIR,169,28101859396,J05AB01,281,1703687,Acyclovir
7030,"Aciclovir ""HEXAL""",,59,28103527303,,,,
7109,"Aciclovir ""HEXAL""",,71,28103527503,,,,
73914,Acikure,RANITIDINHYDROCHLORID,34,28103873005,A02BA02,9143,961047,Ranitidine
75267,Aciloc,,156,28101145183,,,,
115048,Aciloc,,161,28101145183,,,,
115014,Aciloc,,109,28101145183,,,,
114967,Aciloc,,54,28101082181,,,,
57033,Acinil,,70,28103625203,,,,
57024,Acinil,,42,28103625203,,,,
79921,Acnidazil,,37,28101052480,,,,
9321,Actilax,NATRIUMPICOSULFAT,96,28103282401,A06AB08,33688,19025115,picosulfate sodium
10356,Activelle,,160,28103346801,,,,
9632,Activelle,,47,28103345701,,,,
530741,Activelle,"ESTRADIOL, NORETHISTERONACETAT",349,28103009598,G03FA01,,,
3809,Actos,PIOGLITAZONHYDROCHLORID,25,28103089399,A10BG03,33738,1525215,pioglitazone
13909,Actrapid Novolet,"Insulin, humant (rDNA)",288,28103253501,A10AB01,253182,1596977,"Regular Insulin, Human"
53280,Actrapid Pen,,49,28103007798,,,,
488809,Actrapid Pen,,518,28101349488,,,,
172122,Actrapid Pen,,55,28101349488,,,,
482547,Actrapid Penfill,"Insulin, humant (rDNA)",29,28101178984,A10AB01,253182,1596977,"Regular Insulin, Human"
13958,Actrapid Penfill,"Insulin, humant (rDNA)",67,28103253401,A10AB01,253182,1596977,"Regular Insulin, Human"
171884,Acular,Ketorolactrometamol,319,28101575493,S01BC05,35827,1136980,Ketorolac
108308,Adalat,NIFEDIPIN,66,28101228685,C08CA05,7417,1318853,Nifedipine
30809,Adalat,,35,28100651374,,,,
117788,Adalat Oros,NIFEDIPIN,99,28101397390,C08CA05,7417,1318853,Nifedipine
44875,Adalat Oros,,53,28101819496,,,,
101709,Adalat Oros,NIFEDIPIN,62,28103011298,C08CA05,7417,1318853,Nifedipine
117820,Adalat Oros,NIFEDIPIN,146,28101397490,C08CA05,7417,1318853,Nifedipine
30577,Adalat Oros,,98,28101743295,,,,
101691,Adalat Oros,NIFEDIPIN,59,28103011298,C08CA05,7417,1318853,Nifedipine
117796,Adalat Oros,NIFEDIPIN,128,28101397390,C08CA05,7417,1318853,Nifedipine
99283,Adukal,,43,28101167983,,,,
525881,Adurix,,44,28101063181,,,,
199018,Adurix,,47,28100480765,,,,
4370,Aerius,DESLORATADIN,326,28103120999,R06AX27,275635,1103006,desloratadine
55915,Aerius,DESLORATADIN,64,28103120999,R06AX27,275635,1103006,desloratadine
8197,Aerius,,35,28103225401,,,,
55906,Aerius,DESLORATADIN,27,28103120999,R06AX27,275635,1103006,desloratadine
54605,Aerius,DESLORATADIN,41,28103120999,R06AX27,275635,1103006,desloratadine
97288,Aerius,DESLORATADIN,74,28103989506,R06AX27,275635,1103006,desloratadine
4298,Aerius,DESLORATADIN,164,28103120999,R06AX27,275635,1103006,desloratadine
4378,Aerius,DESLORATADIN,45,28103120999,R06AX27,275635,1103006,desloratadine
135772,Aerobec,BECLOMETASONDIPROPIONAT,41,28101931097,R03BA01,1347,1115572,Beclomethasone
135855,Aerobec,BECLOMETASONDIPROPIONAT,106,28101931197,R03BA01,1347,1115572,Beclomethasone
370759,Aerobec Autohaler,BECLOMETASONDIPROPIONAT,96,28101398890,R03BA01,1347,1115572,Beclomethasone
590158,Afeksin,,79,28103006198,,,,
376434,Airomir,SALBUTAMOLSULFAT,853,28101697294,R03AC02,237159,1192218,Levalbuterol
