vnr,Pname,dosf_LT,Streng,packtext,DRUGID,strnum,strunut,PACKSIZE,ATC
5,Risperdal,filmovertrukne tabletter,"0,5 mg",20 stk. (blister),28103023098,0.5,MG,20,N05AX08
7,Ascarex Vet.,oralt pulver,,500 g,28101189984,,,500,QP52AH01
20,Prevenar,"injektionsvæske, suspension",,"1 htgl. a 0,5 ml",28103128599,,,0.5,J07AL02
24,Cefa-Cure Vet.,tabletter,1000 mg,5 stk. (blister),28103010998,1000,MG,5,QJ01DB05
25,Paracillin Vet.,granulat til anvendelse i drikkevand,800 mg/g,4 x 250 g,28101946797,800,MGG,1000,QJ01CA04
27,Mixobar Oesophagus,"mikstur, suspension",1 g/ml,4 plasttuber a 250 ml,28100433163,1,GML,1000,V08BA01
37,Cefa-Cure Vet.,tabletter,1000 mg,10 x 5 stk. (blister),28103010998,1000,MG,50,QJ01DB05
38,Paracillin Vet.,granulat til anvendelse i drikkevand,800 mg/g,1/4 af: 4 x 250 g,28101946797,800,MGG,250,QJ01CA04
48,Zymelin Menthol Ukonserveret,"næsespray, opløsning",1 mg/ml,10 ml,28103089999,1,MGM,10,R01AA07
54,NeoRecormon,"injektionsvæske, opløsning, fyldt injektionssprøjte",4000 IE,"6 engangssprøjter a 0,3 ml",28103104999,4000,IU,1.8,B03XA01
55,NeoRecormon,"lyofilisat og solvens til injektionsvæske, opløsning, cylinderampul",60.000 IE,1 cylinderamp.,28103105199,60000,IU,1,B03XA01
75,Metacam Vet.,dråber,"1,5 mg/ml",32 ml,28101572093,1.5,MGM,32,QM01AC06
117,Xylocain,gel,2%,10 bælgsprøjter a 20 ml,28100946749,2,PC,200,N01BB02
125,Atacand,tabletter,4 mg,28 stk. (blister),28101897297,4,MG,28,C09CA06
133,Duphacyclin Vet.,injektionsvæske,100 mg/ml,100 ml,28101324487,100,MGM,100,QJ01AA06
139,Zoloft,filmovertrukne tabletter,100 mg,28 stk. (blister),28103332001,100,MG,28,N06AB06
141,Bortelvac Vet.,injektionsvæske,,10 htgl. a 20 ml,28100679575,,,200,Q13BC01
142,"Vancomycin ""Xellia""","pulver til infusionsvæske, opløsning",1000 mg,1 htgl.,28101781795,1000,MG,1,J01XA01
145,NeoRecormon,"injektionsvæske, opløsning, fyldt injektionssprøjte",6000 IE,"6 engangssprøjter a 0,3 ml",28103105099,6000,IU,1.8,B03XA01
148,"Loratadin ""HEXAL""",tabletter,10 mg,10 stk. (blister),28103106299,10,MG,10,R06AX13
158,Duphacyclin Vet.,injektionsvæske,100 mg/ml,12 x 100 ml,28101324487,100,MGM,1200,QJ01AA06
159,Zyprexa Velotab,smeltetabletter,5 mg,28 stk. (blister),28103087699,5,MG,28,N05AH03
162,Zoloft,filmovertrukne tabletter,100 mg,98 stk. (blister),28103332001,100,MG,98,N06AB06
164,Metacam,oral suspension,"1,5 mg/ml",10 ml,28103064599,1.5,MGM,10,QM01AC06
166,Fiovax Vet.,injektionssubstans,,5 x 1 doser,28100593371,,,,Q13BG01
171,"Loratadin ""HEXAL""",tabletter,10 mg,100 stk. (blister),28103106299,10,MG,100,R06AX13
175,"Tramadol ""NM""","kapsler, hårde",50 mg,20 stk. (blister),28103014798,50,MG,20,N02AX02
178,"Albumin ""Baxter""","infusionsvæske, opløsning",50 mg/ml,250 ml,28101178184,50,MGM,250,B05AA01
180,"Loratadin ""HEXAL""",tabletter,10 mg,30 stk. (blister),28103106299,10,MG,30,R06AX13
184,Zyprexa Velotab,smeltetabletter,15 mg,28 stk. (blister),28103087899,15,MG,28,N05AH03
186,"Antitrombin III ""Baxter""","pulver og solvens til injektions- og infusionsvæske, opløsning",,500 IE,28101258786,,,500,B01AB02
189,"Natriumklorid ""Baxter"" 9 mg/ml","infusionsvæske, opløsning",9 mg/ml,30 x 100 ml minibag plus,28100675575,9,MGM,3000,B05BB01
193,Zyprexa Velotab,smeltetabletter,20 mg,28 stk. (blister),28103087999,20,MG,28,N05AH03
195,Denagard Vet.,oral opløsning,125 mg/ml,1000 ml,28101032379,125,MGM,1000,QJ01XQ01
198,Zyprexa Velotab,smeltetabletter,10 mg,28 stk. (blister),28103087799,10,MG,28,N05AH03
209,Metacam,oral suspension,"1,5 mg/ml",32 ml,28103064599,1.5,MGM,32,QM01AC06
211,Prevenar,"injektionsvæske, suspension",,"1 x 0,5 ml",,,,,J07AL02
216,Duphacyclin Vet.,injektionsvæske,100 mg/ml,12 x 100 ml,28101324487,100,MGM,1200,QJ01AA06
217,Bisiprol,tabletter,5 mg,30 stk. (blister),28103108199,5,MG,30,C07AB07
223,Tractocile,"injektionsvæske, opløsning","6,75 mg/0,9 ml","1 htgl. a 0,9 ml",28103003898,7.5,MGM,1,G02CX01
224,Duphacyclin Vet.,injektionsvæske,100 mg/ml,24 x 100 ml,28101324487,100,MGM,2400,QJ01AA06
225,Metacam,oral suspension,"1,5 mg/ml",100 ml,28103064599,1.5,MGM,100,QM01AC06
231,Metacam,"injektionsvæske, opløsning",5 mg/ml,10 ml,28103065099,5,MGM,10,QM01AC06
232,Primcillin,filmovertrukne tabletter,800 mg,18 stk.,28100902476,800,MG,18,J01CE02
233,"Insulin ""Paranova"" Rapid Pen Refill","injektionsvæske, opløsning",100 IE/ml,"5 amp. a 1,5 ml",28103102799,100,IUM,7.5,A10AB01
237,Tractocile,"koncentrat til infusionsvæske, opløsning","37,5 mg/5 ml",5 ml,28103141100,7.5,MGM,5,G02CX01
239,Prevenar,"injektionsvæske, suspension",,"10 x 0,5 ml",,,,,J07AL02
240,Elocon,kutanopløsning,"0,1%",50 ml,28101401390,0.1,PC,50,D07AC13
253,"Tramadol ""NM""","kapsler, hårde",50 mg,100 stk. (blister),28103014798,50,MG,100,N02AX02
257,Citanest Dental Octapressin,"injektionsvæske, opløsning","30 mg/ml+0,54mikg/ml","100 tubuler a 1,8 ml",28100484865,,,100,N01BB54
258,"Insulin ""Paranova"" Rapid Pen","injektionsvæske, opløsning",100 IE/ml,5 x 3 ml,28103102899,100,IUM,15,A10AB01
261,Lactaclox Vet.,intramammær suspension,15 +40 mg/applikator,24 sprøjter a 5 g,28101728294,,,24,QJ51RC01
263,"Tylosin ""Scanvet"" Vet.","injektionsvæske, opløsning",200 mg/ml,1 x 100 ml,28101597794,200,MGM,100,QJ01FA90
265,Citanest Dental Octapressin,"injektionsvæske, opløsning","30 mg/ml+0,54mikg/ml",100 tubuler til selvasp.spr.,28100484865,,,100,N01BB54
266,Stellamune Mycoplasma Vet.,"injektionsvæske, emulsion",6000 RU/dosis,1/10 af: 10 x 100 ml,28101500492,6000,UDO,100,QI09AB13
268,Terramycin Vet.,pulver til oral opløsning,20%,1/6 af: 6 x 500 g,28100639173,20,PC,500,QJ01AA06
269,"Albumin ""Baxter""","infusionsvæske, opløsning",200 mg/ml,100 ml,28101081481,200,MGM,100,B05AA01
272,Pulmicort Turbuhaler,inhalationspulver,400 mikg/dosis,100 doser,28103090199,400,RGD,100,R03BA02
