vnr,Pname,Product name (EN),dosf_LT,Streng,packtext,DRUGID,strnum,strunut,PACKSIZE
5,Risperdal,Risperdal,filmovertrukne tabletter,"0,5 mg",20 stk. (blister),28103023098,0.500,MG,"20,000"
7,Ascarex Vet.,Ascarex Vet.,oralt pulver,,500 g,28101189984,,,"500,000"
20,Prevenar,Prevenar,"injektionsvÃ¦ske, suspension",,"1 htgl. a 0,5 ml",28103128599,,,0.500
24,Cefa-Cure Vet.,Cefa-Cure Vet.,tabletter,1000 mg,5 stk. (blister),28103010998,"1,000,000",MG,"5,000"
25,Paracillin Vet.,Paracillin Vet.,granulat til anvendelse i drikkevand,800 mg/g,4 x 250 g,28101946797,"800,000",MGG,"1,000,000"
27,Mixobar Oesophagus,Mixobar Oesophagus,"mikstur, suspension",1 g/ml,4 plasttuber a 250 ml,28100433163,"1,000",GML,"1,000,000"
37,Cefa-Cure Vet.,Cefa-Cure Vet.,tabletter,1000 mg,10 x 5 stk. (blister),28103010998,"1,000,000",MG,"50,000"
38,Paracillin Vet.,Paracillin Vet.,granulat til anvendelse i drikkevand,800 mg/g,1/4 af: 4 x 250 g,28101946797,"800,000",MGG,"250,000"
48,Zymelin Menthol Ukonserveret,Zymelin Menthol Preservative free,"nÃ¦sespray, oplÃ¸sning",1 mg/ml,10 ml,28103089999,"1,000",MGM,"10,000"
54,NeoRecormon,NeoRecormon,"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",4000 IE,"6 engangssprÃ¸jter a 0,3 ml",28103104999,"4,000,000",IU,"1,800"
55,NeoRecormon,NeoRecormon,"lyofilisat og solvens til injektionsvÃ¦ske, oplÃ¸sning, cylinderampul",60.000 IE,1 cylinderamp.,28103105199,"60,000,000",IU,"1,000"
75,Metacam Vet.,Metacam Vet.,drÃ¥ber,"1,5 mg/ml",32 ml,28101572093,"1,500",MGM,"32,000"
117,Xylocain,xylocaine,gel,2%,10 bÃ¦lgsprÃ¸jter a 20 ml,28100946749,"2,000",PC,"200,000"
125,Atacand,Atacand,tabletter,4 mg,28 stk. (blister),28101897297,"4,000",MG,"28,000"
133,Duphacyclin Vet.,Duphacyclin Vet.,injektionsvÃ¦ske,100 mg/ml,100 ml,28101324487,"100,000",MGM,"100,000"
139,Zoloft,Zoloft,filmovertrukne tabletter,100 mg,28 stk. (blister),28103332001,"100,000",MG,"28,000"
141,Bortelvac Vet.,Bortelvac Vet.,injektionsvÃ¦ske,,10 htgl. a 20 ml,28100679575,,,"200,000"
142,"Vancomycin ""Xellia""","Vancomycin ""Xellia""","pulver til infusionsvÃ¦ske, oplÃ¸sning",1000 mg,1 htgl.,28101781795,"1,000,000",MG,"1,000"
145,NeoRecormon,NeoRecormon,"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",6000 IE,"6 engangssprÃ¸jter a 0,3 ml",28103105099,"6,000,000",IU,"1,800"
148,"Loratadin ""HEXAL""","Loratadine ""Sandoz""",tabletter,10 mg,10 stk. (blister),28103106299,"10,000",MG,"10,000"
158,Duphacyclin Vet.,Duphacyclin Vet.,injektionsvÃ¦ske,100 mg/ml,12 x 100 ml,28101324487,"100,000",MGM,"1,200,000"
159,Zyprexa Velotab,Zyprexa Velotab,smeltetabletter,5 mg,28 stk. (blister),28103087699,"5,000",MG,"28,000"
162,Zoloft,Zoloft,filmovertrukne tabletter,100 mg,98 stk. (blister),28103332001,"100,000",MG,"98,000"
164,Metacam,Metacam,oral suspension,"1,5 mg/ml",10 ml,28103064599,"1,500",MGM,"10,000"
166,Fiovax Vet.,Fiovax Vet.,injektionssubstans,,5 x 1 doser,28100593371,,,
171,"Loratadin ""HEXAL""","Loratadine ""Sandoz""",tabletter,10 mg,100 stk. (blister),28103106299,"10,000",MG,"100,000"
175,"Tramadol ""NM""","Tramadol ""NM""","kapsler, hÃ¥rde",50 mg,20 stk. (blister),28103014798,"50,000",MG,"20,000"
178,"Albumin ""Baxter""","Albumin ""Baxter""","infusionsvÃ¦ske, oplÃ¸sning",50 mg/ml,250 ml,28101178184,"50,000",MGM,"250,000"
180,"Loratadin ""HEXAL""","Loratadine ""Sandoz""",tabletter,10 mg,30 stk. (blister),28103106299,"10,000",MG,"30,000"
184,Zyprexa Velotab,Zyprexa Velotab,smeltetabletter,15 mg,28 stk. (blister),28103087899,"15,000",MG,"28,000"
186,"Antitrombin III ""Baxter""","Antithrombin III ""Baxter""","pulver og solvens til injektions- og infusionsvÃ¦ske, oplÃ¸sning",,500 IE,28101258786,,,"500,000"
189,"Natriumklorid ""Baxter"" 9 mg/ml","Sodium ""Baxter"" 9 mg / ml","infusionsvÃ¦ske, oplÃ¸sning",9 mg/ml,30 x 100 ml minibag plus,28100675575,"9,000",MGM,"3,000,000"
193,Zyprexa Velotab,Zyprexa Velotab,smeltetabletter,20 mg,28 stk. (blister),28103087999,"20,000",MG,"28,000"
195,Denagard Vet.,Denagard Vet.,oral oplÃ¸sning,125 mg/ml,1000 ml,28101032379,"125,000",MGM,"1,000,000"
198,Zyprexa Velotab,Zyprexa Velotab,smeltetabletter,10 mg,28 stk. (blister),28103087799,"10,000",MG,"28,000"
209,Metacam,Metacam,oral suspension,"1,5 mg/ml",32 ml,28103064599,"1,500",MGM,"32,000"
211,Prevenar,Prevenar,"injektionsvÃ¦ske, suspension",,"1 x 0,5 ml",,,,
216,Duphacyclin Vet.,Duphacyclin Vet.,injektionsvÃ¦ske,100 mg/ml,12 x 100 ml,28101324487,"100,000",MGM,"1,200,000"
217,Bisiprol,Bisiprol,tabletter,5 mg,30 stk. (blister),28103108199,"5,000",MG,"30,000"
223,Tractocile,Tractocile,"injektionsvÃ¦ske, oplÃ¸sning","6,75 mg/0,9 ml","1 htgl. a 0,9 ml",28103003898,"7,500",MGM,"1,000"
224,Duphacyclin Vet.,Duphacyclin Vet.,injektionsvÃ¦ske,100 mg/ml,24 x 100 ml,28101324487,"100,000",MGM,"2,400,000"
225,Metacam,Metacam,oral suspension,"1,5 mg/ml",100 ml,28103064599,"1,500",MGM,"100,000"
231,Metacam,Metacam,"injektionsvÃ¦ske, oplÃ¸sning",5 mg/ml,10 ml,28103065099,"5,000",MGM,"10,000"
232,Primcillin,primcillin,filmovertrukne tabletter,800 mg,18 stk.,28100902476,"800,000",MG,"18,000"
233,"Insulin ""Paranova"" Rapid Pen Refill","Insulin ""Paranova"" Rapid Pen Refill","injektionsvÃ¦ske, oplÃ¸sning",100 IE/ml,"5 amp. a 1,5 ml",28103102799,"100,000",IUM,"7,500"
237,Tractocile,Tractocile,"koncentrat til infusionsvÃ¦ske, oplÃ¸sning","37,5 mg/5 ml",5 ml,28103141100,"7,500",MGM,"5,000"
239,Prevenar,Prevenar,"injektionsvÃ¦ske, suspension",,"10 x 0,5 ml",,,,
240,Elocon,Elocon,kutanoplÃ¸sning,0.10%,50 ml,28101401390,0.100,PC,"50,000"
253,"Tramadol ""NM""","Tramadol ""NM""","kapsler, hÃ¥rde",50 mg,100 stk. (blister),28103014798,"50,000",MG,"100,000"
257,Citanest Dental Octapressin,Citanest Dental Octapressin,"injektionsvÃ¦ske, oplÃ¸sning","30 mg/ml+0,54mikg/ml","100 tubuler a 1,8 ml",28100484865,,,"100,000"
258,"Insulin ""Paranova"" Rapid Pen","Insulin ""Paranova"" Rapid Pen","injektionsvÃ¦ske, oplÃ¸sning",100 IE/ml,5 x 3 ml,28103102899,"100,000",IUM,"15,000"
