concept_id,concept_name,concept_code,frequency
8576,milligram,mg,129254
8587,milliliter,mL,64359
8510,unit,[U],8496
8505,hour,h,3302
9551,milliequivalent,10*-3.eq,2021
45744809,Actuation,{actuat},1420
8554,percent,%,484
45744810,bioequivalent allergenic unit,{BAU},80
45744811,allergenic unit,{AU},45
9693,index of reactivity,{ir},40
8718,international unit,[iU],29
9573,millimole,mmol,25
45744812,cells,{cells},14
45744814,limit of flocculation unit,{LFU},12
44819154,millicurie,mCi,10
9414,50% tissue culture infectious dose,[tcid_50],6
45744816,protein nitrogen unit,{PNU},6
45744815,bacteria,{bacteria},4
9379,plaque forming unit,[PFU],4
9483,square centimeter,cm2,4
45744813,clinical unit,{CU},2
9278,colony forming unit,[CFU],2
9367,minim (US),[min_us],2
9276,50% cell culture infectious dose,[CCID_50],1
9422,AHG-equivalent per milliliter,{AHG}eq/mL,1
9452,Angstrom,Ang,1
9161,Bethesda unit,[beth'U],1
44777562,Bethesda unit per milliliter,[beth'U]/mL,1
9262,Bodansky unit,[bdsk'U],1
9338,Boltzmann constant,[k],1
9265,British thermal unit at 39 degrees Fahrenheit,[Btu_39],1
9267,British thermal unit at 60 degrees Fahrenheit,[Btu_60],1
8484,CD59-deficient cells,{CD59-deficient cells},1
44777591,Decibel,dB,1
9290,Didot's point,[didot],1
8556,EIA unit,[EIA'U],1
9426,ELISA unit per milliliter,{ELU]/mL,1
8480,Ehrlich unit,[EU],1
9425,Ehrlich unit per 100 gram,[EU]/100.g,1
8829,Ehrlich unit per deciliter,[EU]/dL,1
8695,Ehrlich unit per milliliter,[EU]/mL,1
8600,Elisa unit,[ELU],1
8517,Farad,F,1
8655,Farad per liter,F/L,1
8574,G (anti-prothrombin IgG concentration) unit,[G'U],1
9502,Gauss,G,1
45891031,Gigabecquerel,GBq,1
45891028,Gigabecquerel per milliliter,GBq/mL,1
9280,Gunter's chain (British),[ch_br],1
9281,Gunter's chain (US),[ch_us],1
8518,Henry,H,1
9521,Hertz,Hz,1
9322,Hounsfield unit,[hnsf'U],1
9099,IgA phospholipid unit,[APL'U],1
9156,IgA phospholipid unit per milliliter,[APL'U]/mL,1
9100,IgG phospholipid unit,[GPL'U],1
9157,IgG phospholipid unit per milliliter,[GPL'U]/mL,1
9101,IgM phospholipid unit,[MPL'U],1
9158,IgM phospholipid unit per milliliter,[MPL'U]/mL,1
8560,Juvenile Diabetes Foundation unit,[JDF'U],1
45891024,Kallikrein inactivator unit,{KIU},1
45891026,Kallikrein inactivator unit per milliliter,{KIU]/mL,1
9339,King-Armstrong unit,[ka'U],1
9342,Kunkel unit,[knk'U],1
8547,M (anti-prothrombin IgG concentration) unit,[M'U],1
45891007,Megabecquerel,MBq,1
45891032,Megabecquerel per milliliter,MBq/mL,1
9689,Million unit,10*6.[U],1
45890995,Million unit per liter,10*6.[U]/mL,1
9312,Newtonian constant of gravitation,[G],1
8589,O.D. ratio,[OD'ratio],1
8590,O.D. unit,[OD'U],1
8616,Panbio bacterial IgG and IgM unit,[PANBIO'U],1
9395,Ramden's chain,[rch_us],1
9405,Somogyi unit,[smgy'U],1
9399,Svedberg unit,[S],1
9415,Todd unit,[todd'U],1
9418,US pharmacopeia unit,[USP'U],1
9679,Weber,Wb,1
9259,acre (British),[acr_us],1
9258,acre (US),[acr_br],1
8543,ampere,A,1
8542,anti-phosphatidylserine IgA concentration (APS) unit,[APS'U],1
8823,anti-phosphatidylserine IgA concentration (APS) unit per milliter,[APS'U]/mL,1
8487,anti-phosphatidylserine IgG concentration (GPS) unit,[GPS'U],1
8831,anti-phosphatidylserine IgG concentration (GPS) unit per milliliter,[GPS'U]/mL,1
8495,anti-phosphatidylserine IgM concentration (MPS) unit,[MPS'U],1
8836,anti-phosphatidylserine IgM concentration (MPS) unit per milliliter,[MPS'U]/mL,1
45891000,application,[App],1
9260,arbitrary unit,[arb'U],1
44777561,arbitrary unit per liter,[arb'U]/L,1
8980,arbitrary unit per milliliter,[arb'U]/mL,1
9453,are,ar,1
8478,avidity index,{ai},1
9464,bar,bar,1
9456,barn,b,1
9261,barrel,[bbl_us],1
8568,baseline,{baseline},1
9465,baud,Bd,1
9469,becquerel,Bq,1
9457,bel,B,1
9458,bel kilowatt,B[kW],1
9461,bel microvolt,B[uV],1
9459,bel millivolt,B[mV],1
9460,bel sound pressure,B[SPL],1
9462,bel volt,B[V],1
9463,bel watt,B[W],1
8609,beta-2 GPI IgA Ab unit,[GPI'IgA'U],1
8610,beta-2 GPI IgG Ab unit,[GPI'IgG'U],1
8611,beta-2 GPI IgM Ab unit,[GPI'IgM'U],1
44777660,billion,10*9,1
44777588,billion cells per liter,10*9.{cellls}/L,1
44777589,billion copies per liter,10*9.{copies}/L,1
9444,billion per liter,10*9/L,1
9446,billion per microliter,10*9/uL,1
9445,billion per milliliter,10*9/mL,1
9466,biot,Bi,1
9467,bit,bit,1
9263,board foot,[bf_i],1
9683,bone collagen equivalent per micromole of creatinine,{BColl}eq/umol{creat},1
9682,bone collagen equivalent per millimole of creatinine,{BColl}eq/mmol{creat},1
9266,british thermal unit at 59 degrees Fahrenheit,[Btu_59],1
9271,bushel (US),[bu_us],1
8798,bushel per milliliter,[bu_us]/mL,1
9470,byte,By,1
8596,calculated,{calc},1
9472,calorie,cal,1
9475,calorie (international table),cal_IT,1
9473,calorie at 15 degrees Celsius,cal_[15],1
9474,calorie at 20 degrees Celsius,cal_[20],1
9478,candela,cd,1
9274,carat of gold alloys,[car_Au],1
8888,cells per cubic millimeter,{cells}/mm3,1
8889,cells per high power field,{cells}/[HPF],1
44777569,cells per liter,{cells}/L,1
8784,cells per microliter,{cells}/uL,1
9479,centigram,cg,1
9482,centiliter,cL,1
8582,centimeter,cm,1
44777590,centimeter watercolumn,cm[H2O],1
8479,centipoise,cP,1
9279,charriere french,[Ch],1
9282,cicero didot's pica,[cicero],1
9481,circle,circ,1
9284,circular mil,[cml_i],1
9423,colony forming unit per milliliter,[CFU]/mL,1
9424,complement Ch50 unit per milliliter,[CH50'U]/mL,1
8998,complement activity enzyme unit,[CAE'U],1
44777570,copies per liter,{copies}/L,1
8799,copies per milliliter,{copies}/mL,1
9286,cord (US),[crd_us],1
9285,cord (international),[cr_i],1
9471,coulomb,C,1
8483,counts per minute,{counts}/min,1
44777662,cubic centimeter,cm3,1
9277,cubic foot,[cft_i],1
9283,cubic inch,[cin_i],1
8686,cubic millimeter,mm3,1
9288,cubic yard,[cyd_i],1
9287,cup,[cup_us],1
9480,curie,Ci,1
8512,day,d,1
8621,day per week,d/wk,1
9485,decigram,dg,1
9486,deciliter,dL,1
9487,decimeter,dm,1
9484,degree,deg,1
8653,degree Celsius,[degC],1
9289,degree Fahrenheit,[degF],1
9291,diopter,[diop],1
9294,dram (apothecary),[dr_ap],1
9295,dram (avoirdupois),[dr_av],1
9296,drop,[drp],1
9292,dry pint,[dpt_us],1
9293,dry quart,[dqt_us],1
9297,dye unit,[dye'U],1
9488,dyne,dyn,1
9356,electron mass,[m_e],1
9495,electronvolt,eV,1
9298,elementary charge,[e],1
9489,equivalent,eq,1
9490,equivalent per liter,eq/L,1
9493,equivalent per micromole,eq/umol,1
9491,equivalent per milliliter,eq/mL,1
9492,equivalent per millimole,eq/mmol,1
9494,erg,erg,1
8712,erythrocytes per microliter,{ery}/uL,1
9308,fathom (British),[fth_br],1
9310,fathom (US),[fth_us],1
9309,fathom (international),[fth_i],1
9496,femtogram,fg,1
44777592,femtogram per liter,fg/L,1
8583,femtoliter,fL,1
8496,femtoliter platelet mean volume,fL{mpv},1
9497,femtometer,fm,1
9498,femtomole,fmol,1
9499,femtomole per gram,fmol/g,1
8745,femtomole per liter,fmol/L,1
9500,femtomole per milligram,fmol/mg,1
9501,femtomole per milliliter,fmol/mL,1
9300,fluid dram (British),[fdr_br],1
9301,fluid dram (US),[fdr_us],1
9303,fluid ounce (British),[foz_br],1
9304,fluid ounce (US),[foz_us],1
44777563,fluorescence intensity unit,[FiU],1
9302,focus forming unit,[FFU],1
9305,foot (British),[ft_br],1
9307,foot (US),[ft_us],1
9306,foot (international),[ft_i],1
9311,furlong,[fur_us],1
9314,gallon (British),[gal_br],1
9515,gallon (US),[gal_us],1
9516,gilbert,Gb,1
9317,gill (British),[gil_br],1
9318,gill (US),[gil_us],1
9518,gon grade,gon,1
9319,grain,[gr],1
8504,gram,g,1
44777596,gram of creatinine,g{creat},1
44777597,gram of hemoglobin,g{HGB},1
44777598,gram of total nitrate,g{tot'nit},1
44777599,gram of total protein,g{tot'prot},1
44777600,gram or wet tissue,g{wet'tis},1
9508,gram per 100 gram,g/100.g,1
44777593,gram per 12 hours,g/(12.h),1
8807,gram per 24 hours,g/(24.h),1
8791,gram per 5 hours,g/(5.h),1
45891018,gram per actuation,g/{actuat},1
45891001,gram per application,g/[App],1
45956701,gram per cubical centimeter,g/cm3,1
8713,gram per deciliter,g/dL,1
8950,gram per deciliter calculated,g/dL{calc},1
45890996,gram per dose,g/[dose],1
9510,gram per gram,g/g,1
9511,gram per gram of creatinine,g/g{creat},1
44777594,gram per hour,g/h,1
9512,gram per kilogram,g/kg,1
8636,gram per liter,g/L,1
9514,gram per milliliter,g/mL,1
44777595,gram per mole,g/mol,1
9513,gram per square meter,g/m2,1
8622,gram per time,g/{time},1
9509,gram per total weight,g/{tot'wt},1
9503,gram percent,g%,1
9517,gram-force,gf,1
9504,gram-meter,g.m,1
9507,gram-meter per heart beat,g.m/{hb},1
9505,gram-meter per heart beat per square meter,g.m/({hb}.m2),1
9519,gray,Gy,1
9321,hand,[hd_i],1
8581,heartbeat,{hb},1
9520,hectoliter,hL,1
9324,homeopathic potency of centesimal series,[hp_C],1
9325,homeopathic potency of decimal series,[hp_X],1
9323,horsepower,[HP],1
9443,hundred million,10*8,1
9438,hundred thousand,10*5,1
9402,hundredweight (US),[scwt_av],1
8488,immune status ratio,{ISR},1
9326,inch (British),[in_br],1
9330,inch (US),[in_us],1
9327,inch (international),[in_i],1
9329,inch of mercury column,[in_i'Hg],1
9328,inch of water column,[in_i'H2O],1
44777564,international unit per 24 hours,[iU]/(24.h),1
9332,international unit per deciliter,[iU]/dL,1
9333,international unit per gram,[iU]/g,1
9334,international unit per gram of hemoglobin,[iU]/g{HBG},1
9687,international unit per hour,[iU]/h,1
9335,international unit per kilogram,[iU]/kg,1
8923,international unit per liter,[iU]/L,1
45891019,international unit per milligram,[iU]/mg,1
8985,international unit per milliliter,[iU]/mL,1
9522,joule,J,1
9526,katal,kat,1
9527,katal per kilogram,kat/kg,1
44777601,katal per liter,kat/L,1
9539,kayser,Ky,1
9523,kelvin,K,1
9524,kelvin per watt,K/W,1
9058,kilo-international unit per liter,10*3.[iU]/L,1
9525,kilo-international unit per milliliter,10*3.[iU]/mL,1
45891008,kilobecquerel,kBq,1
45891038,kilobecquerel per milliliter,kBq/mL,1
9528,kilocalories per ounce,kcal/[oz_av],1
9529,kilogram,kg,1
9534,kilogram of wet tissue,kg{wet'tis},1
9532,kilogram per cubic meter,kg/m3,1
9530,kilogram per liter,kg/L,1
9533,kilogram per mole,kg/mol,1
9531,kilogram per square meter,kg/m2,1
9535,kiloliter,kL,1
9536,kilometer,km,1
44777602,kilopascal,kPa,1
9537,kilosecond,ks,1
9538,kilounit per gram,10*3.[U]/g,1
8810,kilounit per liter,10*3.[U]/L,1
8924,kilounit per liter class,10*3.[U]/L{class},1
9340,knot (British),[kn_br],1
9341,knot (international),[kn_i],1
9544,lambert,Lmb,1
9355,light-year,[ly],1
9349,ligne french line,[ligne],1
9352,line,[lne],1
9350,link for Gunter's chain (British),[lk_br],1
9351,link for Gunter's chain (US),[lk_us],1
9398,link for Ramden's chain,[rlk_us],1
8519,liter,L,1
8857,liter per 24 hours,L/(24.h),1
44777603,liter per hour,L/h,1
9542,liter per kilogram,L/kg,1
44777604,liter per liter,L/L,1
8698,liter per minute,L/min,1
9541,liter-square second per second,L.s2/s,1
44777605,log cells per millilieter,lg({cells})/mL,1
8873,log copies per milliliter,lg({copies})/mL,1
9084,log international unit per milliliter,lg([iU])/mL,1
